# Output table from Spectronaut filtered for the comparison of Geriatric (26m) vs. Young (y) mouse crypts. Related to Figure 2 and S2.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
26m / y,Q8R0W0,Eppk1,Epiplakin,EPIPL_MOUSE,180,0.658148944,0.658148944,-36.63091648,0.633690835,4.25E-75
26m / y,P07724,Alb,Serum albumin,ALBU_MOUSE,39,-0.916532159,0.916532159,88.75726318,1.887572632,5.64E-29
26m / y,O08638,Myh11,Myosin-11,MYH11_MOUSE,131,0.373241246,0.373241246,-22.79539783,0.772046022,1.30E-26
26m / y,Q80Z19,Muc2,Mucin-2 (Fragments),MUC2_MOUSE,100,0.345464885,0.345464885,-21.29456799,0.78705432,1.28E-22
26m / y,Q9EQK5,Mvp,Major vault protein,MVP_MOUSE,59,0.506516933,0.506516933,-29.60801539,0.703919846,3.10E-22
26m / y,Q9CQW5,Lgals2,Galectin-2,LEG2_MOUSE,21,1.274936199,1.274936199,-58.67565663,0.413243434,6.93E-20
26m / y,Q61207,Psap,Prosaposin,SAP_MOUSE,25,0.986665785,0.986665785,-49.53572911,0.504642709,4.90E-19
26m / y,Q04447,Ckb,Creatine kinase B-type,KCRB_MOUSE,23,-0.824923694,0.824923694,77.14413421,1.771441342,5.22E-19
26m / y,P37804,Tagln,Transgelin,TAGL_MOUSE,18,0.951616108,0.951616108,-48.29470658,0.517052934,3.42E-18
26m / y,P14483,H2-Ab1,"H-2 class II histocompatibility antigen, A beta chain",HB2A_MOUSE,17,1.391613483,1.391613483,-61.88616942,0.381138306,5.92E-18
26m / y,Q8C196,Cps1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",CPSM_MOUSE,131,-0.300963581,0.300963581,23.19669733,1.231966973,6.04E-18
26m / y,Q9QXS1,Plec,Plectin,PLEC_MOUSE,340,0.217932373,0.217932373,-14.02032115,0.859796789,2.11E-16
26m / y,Q99JG3,Anxa13,Annexin A13,ANX13_MOUSE,33,0.877621472,0.877621472,-45.57359962,0.544264004,2.20E-16
26m / y,Q61699,Hsph1,Heat shock protein 105 kDa,HS105_MOUSE,50,-0.981638849,0.981638849,97.47073307,1.974707331,4.00E-16
26m / y,Q9D7Z6,Clca1,Calcium-activated chloride channel regulator 1,CLCA1_MOUSE,50,-0.570284665,0.570284665,48.48165175,1.484816518,1.12E-15
26m / y,P11627,L1cam,Neural cell adhesion molecule L1,L1CAM_MOUSE,22,0.629931629,0.629931629,-35.37929608,0.646207039,3.50E-14
26m / y,P09528,Fth1,Ferritin heavy chain,FRIH_MOUSE,12,-1.285945654,1.285945654,143.8418332,2.438418332,5.02E-14
26m / y,Q5SYD0,Myo1d,Unconventional myosin-Id,MYO1D_MOUSE,83,0.466503918,0.466503918,-27.62837444,0.723716256,6.09E-14
26m / y,P05064,Aldoa,Fructose-bisphosphate aldolase A,ALDOA_MOUSE,36,0.567914963,0.567914963,-32.54089714,0.674591029,9.29E-14
26m / y,Q8BMK4,Ckap4,Cytoskeleton-associated protein 4,CKAP4_MOUSE,20,1.025522709,1.025522709,-50.87677134,0.491232287,1.17E-13
26m / y,Q8BX90,Fndc3a,Fibronectin type-III domain-containing protein 3A,FND3A_MOUSE,25,-0.605578482,0.605578482,52.15887474,1.521588747,7.38E-13
26m / y,E9Q557,Dsp,Desmoplakin,DESP_MOUSE,219,0.180778667,0.180778667,-11.77732974,0.882226703,1.89E-12
26m / y,P05201,Got1,"Aspartate aminotransferase, cytoplasmic",AATC_MOUSE,25,0.482863873,0.482863873,-28.44442263,0.715555774,2.94E-12
26m / y,P09103,P4hb,Protein disulfide-isomerase,PDIA1_MOUSE,66,0.441243976,0.441243976,-26.35007181,0.736499282,3.61E-12
26m / y,Q01320,Top2a,DNA topoisomerase 2-alpha,TOP2A_MOUSE,67,-0.601019323,0.601019323,51.67878605,1.51678786,4.21E-12
