# Output table from Spectronaut filtered for the comparison of Old (18m) vs. Young (y) mouse crypts. Related to Figure 2 and S2.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
18m / y,Q6URW6,Myh14,Myosin-14,MYH14_MOUSE,186,-0.512048662,0.512048662,-29.87740272,0.701225973,5.24E-50
18m / y,O88428,Papss2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,PAPS2_MOUSE,38,-1.708478332,1.708478332,-69.40173685,0.305982631,5.08E-39
18m / y,P11679,Krt8,"Keratin, type II cytoskeletal 8",K2C8_MOUSE,77,-0.574314296,0.574314296,-32.83946147,0.671605385,8.03E-30
18m / y,Q62468,Vil1,Villin-1,VILI_MOUSE,76,-0.651156068,0.651156068,-36.32301505,0.636769849,5.15E-28
18m / y,P01878,NaN,Ig alpha chain C region,IGHA_MOUSE,14,1.742515206,1.742515206,234.6180354,3.346180354,1.62E-25
18m / y,Q8VDD5,Myh9,Myosin-9,MYH9_MOUSE,178,-0.301422983,0.301422983,-18.85483632,0.811451637,3.20E-23
18m / y,Q80X90,Flnb,Filamin-B,FLNB_MOUSE,146,-0.260514736,0.260514736,-16.52099767,0.834790023,1.73E-22
18m / y,P27046,Man2a1,Alpha-mannosidase 2,MA2A1_MOUSE,49,0.574496686,0.574496686,48.91578495,1.489157849,1.97E-21
18m / y,Q8R086,Suox,"Sulfite oxidase, mitochondrial",SUOX_MOUSE,22,0.632386625,0.632386625,55.01272216,1.550127222,1.90E-20
18m / y,Q921X9,Pdia5,Protein disulfide-isomerase A5,PDIA5_MOUSE,29,0.681899488,0.681899488,60.42505613,1.604250561,3.68E-20
18m / y,P81117,Nucb2,Nucleobindin-2,NUCB2_MOUSE,31,0.88588804,0.88588804,84.79017334,1.847901733,6.71E-20
18m / y,P00329,Adh1,Alcohol dehydrogenase 1,ADH1_MOUSE,24,-0.925577402,0.925577402,-47.35302304,0.52646977,8.42E-20
18m / y,P46735,Myo1b,Unconventional myosin-Ib,MYO1B_MOUSE,25,0.693005502,0.693005502,61.66479033,1.616647903,5.29E-19
