Spot ID,ET10 vs ET12,ET10 vs ET14,ET10 vs ET16,ET10 vs ET18,ET10 vs NB,ET10 vs 1w,ET10 vs 2w,ET10 vs 4w,ET 10 vs 8w,ET10 vs 14w,ET10 vs 22w,ET10 vs 42w,ET10 vs 75w,ET10 vs 100w,ET12 vs ET14,ET12 vs ET16,ET12 vs ET18,ET12 vs NB,ET12 vs 1w,ET12 vs 2w,ET12 vs 4w,ET 12 vs 8w,ET12 vs 14w,ET12 vs 22w,ET12 vs 42w,ET12 vs 75w,ET12 vs 100w,ET14 vs ET16,ET14 vs ET18,ET14 vs NB,ET14 vs 1w,ET14 vs 2w,ET14 vs 4w,ET 14 vs 8w,ET14 vs 14w,ET14 vs 22w,ET14 vs 42w,ET14 vs 75w,ET14 vs 100w,ET16 vs ET18,ET16 vs NB,ET16 vs 1w,ET16 vs 2w,ET16 vs 4w,ET 16 vs 8w,ET16 vs 14w,ET16 vs 22w,ET16 vs 42w,ET16 vs 75w,ET16 vs 100w,ET18 vs NB,ET18 vs 1w,ET18 vs 2w,ET18 vs 4w,ET 18 vs 8w,ET18 vs 14w,ET18 vs 22w,ET18 vs 42w,ET18 vs 75w,ET18 vs 100w,NB vs 1w,NB vs 2w,NB vs 4w,NB vs 8w,NB vs 14w,NB vs 22w,NB vs 42w,NB vs 75w,NB vs 100w,1w vs 2w,1w vs 4w,1w vs 8w,1w vs 14w,1w vs 22w,1w vs 42w,1w vs 75w,1w vs 100w,2w vs 4w,2w vs 8w,2w vs 14w,2w vs 22w,2w vs 42w,2w vs 75w,2w vs 100w,4w vs 8w,4w vs 14w,4w vs 22w,4w vs 42w,4w vs 75w,4w vs 100w,8w vs 14w,8w vs 22w,8w vs 42w,8w vs 75w,8w vs 100w,14w vs 22w,14w vs 42w,14w vs 75w,14w vs 100w,22w vs 42w,22w vs 75w,22w vs 100w,42w vs 75w,42w vs 100w,75w vs 100w
277,,3.25,,,,,,1.3,1.7,21.38,,7.07,,,2.66,,,,,,,,17.48,,5.78,,,0.35,,0.35,,0.44,0.4,,6.57,0.36,2.17,0.32,0.4,,,,,,,18.97,,6.28,,,,,,,,15.42,,5.1,,,,,,1.48,18.53,,6.13,,,,,,14.64,,,,,,,15.1,,4.99,,,,16.46,,5.45,,,12.55,,4.15,0.62,,0.05,0.33,0.05,0.06,6.03,,,0.15,0.18,
302,,,4.43,,,,,0.75,,5.75,,2.79,0.63,,,3.6,,0.63,,,0.61,,4.67,,,0.51,,4.1,,,,,,,5.32,,2.59,0.58,,,0.17,,0.24,0.17,0.17,,0.16,,0.14,0.18,,,,,,,,,0.58,,,,,,7.45,,3.62,,,,,,,,,,,,,5.31,,2.58,0.58,,,7.71,,3.75,,,7.54,,3.66,,,0.12,,0.11,0.14,4.06,,,0.22,0.29,
303,2.09,2.12,13.97,2.27,1.38,,3.14,1.73,4.27,52.36,,13.43,1.36,1.79,,,,,,,,,,,,,,6.59,,0.65,,,,,24.7,,6.34,0.64,,0.16,0.1,,0.23,0.12,,3.75,0.11,,0.1,0.13,0.61,,,,,23.09,,5.92,0.6,,,2.28,,3.1,37.98,,9.74,,,,,,,,,,,0.55,,16.65,0.5,4.27,0.43,0.57,2.47,30.25,,7.76,0.79,,,,,0.32,0.42,0.03,,0.03,0.03,8.48,,,0.1,0.13,
351,,5.87,2.8,2.21,2.13,1.73,19.77,2.2,2.74,3.78,2.05,2.53,2.42,2.05,4.08,1.95,1.53,1.48,,13.74,,1.9,2.63,,,1.68,1.43,0.48,0.38,0.36,0.29,3.36,0.37,0.47,0.64,0.35,0.43,0.41,0.35,,,,7.06,,,1.35,,,,0.73,,,8.96,,,,,,,,,9.29,,,1.77,,,,,11.41,,,2.18,,,,,0.11,0.14,0.19,0.1,0.13,0.12,0.1,,1.72,,,,,1.38,,,,0.75,0.54,,0.64,0.54,,,,,,
355,1.43,1.37,6.85,,1.83,,15.83,,1.59,2.39,,1.9,1.52,1.45,,4.8,,,,11.1,,,,,,,,5,,1.34,,11.56,,,1.75,,,,,,0.27,0.21,2.31,0.2,0.23,0.35,0.19,0.28,0.22,0.21,,,9.02,,,,,,,,,8.65,,,,,,,,11.15,,,,,,,,0.09,0.1,0.15,0.08,0.12,0.1,0.09,,,,,,,,,,,,,,0.63,0.6,,,,,,
374,,,9.95,,2.25,,3.63,,,0.46,,,,,,7.01,,1.59,,2.56,0.64,0.5,0.32,0.48,0.56,0.59,0.59,9.96,,2.26,,3.63,,0.71,0.46,,,,,,0.23,,0.36,0.09,0.07,0.05,0.07,0.08,0.08,0.08,,,,,,0.28,,,,0.51,,,0.4,0.31,0.2,0.3,0.35,0.37,0.37,3.03,,,0.38,,,,,0.25,0.19,0.13,0.19,0.22,0.23,0.23,,0.5,,,,,0.65,,,,,1.48,1.74,1.81,1.82,,,,,,
375,1.8,4.09,4.31,2.72,2.18,,5.12,,,3.69,3.08,,2.08,1.8,2.28,2.4,,,,2.85,,0.57,2.05,,,,,,,0.53,,,,0.25,,,0.42,0.51,0.44,,0.51,0.32,,0.58,0.24,,,0.4,0.48,0.42,,0.51,1.88,,0.38,,,,,0.66,,2.35,,0.47,,,,,,3.69,,,,,,,,0.49,0.2,,0.6,0.34,0.41,0.35,0.41,,,,,,3.57,2.99,1.68,2.02,1.75,,,0.56,0.49,,,0.58,,,
406,,,0.56,0.32,0.68,0.59,0.4,0.53,,,,,,,,0.58,0.33,0.7,0.61,0.41,0.54,0.58,,,,,,0.73,,,,0.51,0.68,,,,,,1.63,,,,,,,,1.35,2.03,2.08,2.25,2.14,,,,,,,3.56,3.66,3.95,,0.58,,,,,1.67,1.71,1.85,,,,,1.28,1.92,1.97,2.12,,,1.91,1.92,2.88,2.96,3.19,,,1.44,2.17,2.23,2.4,,,,2.05,2.21,,,,1.67,,1.54,1.66,,,
416,,,,,,,0.25,0.31,0.27,,,,,0.2,,,,,0.39,0.25,0.31,0.27,,0.49,0.51,0.26,0.2,,,,,0.21,0.26,0.23,,0.41,0.42,0.22,0.17,,,,0.3,0.37,0.32,,,,,0.24,,0.47,0.31,0.37,0.33,,0.59,,0.31,0.24,,0.39,0.47,0.41,,,,0.39,0.31,,,,,,,,0.52,,,,,,,,,,1.59,1.64,,0.66,2.06,1.81,1.86,,0.75,,,,0.36,,,0.41,,0.4,
442,,0.57,0.52,,0.31,0.55,0.5,0.53,,,,,0.61,,0.47,0.43,,0.26,0.45,0.41,0.43,0.61,,0.62,0.39,0.5,0.68,,,,,,,,1.69,,,,1.46,,,,,,,1.85,,,,1.6,0.43,,,,,,,,,,,1.59,,2.38,3.08,2.41,,1.96,2.66,,,1.35,1.75,1.37,,,1.51,,1.49,1.94,1.52,,,1.67,1.41,1.83,1.43,,,1.58,,,,,,0.78,,0.64,,,,,,,1.36
