Uniprot Accession,Protein Name,5 month old mouse 1 H:L,5 month old mouse 2 H:L,5 month old mouse 3 H:L,24 month old mouse 1 H:L,24 month old mouse 2 H:L,24 month old mouse 3 H:L,P-value,Cum.PPDE (p),PPDE (p),BH (FDR)
P63216,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 OS=Mus musculus GN=Gng3 PE=1 SV=1,1.431,1.348,0.836,0.076,0.035,0.116,0.000,1.000,1.000,0.000
Q3UHL1,CaM kinase-like vesicle-associated protein OS=Mus musculus GN=Camkv PE=1 SV=2,0.055,0.031,0.050,0.231,0.170,0.330,0.000,1.000,1.000,0.000
Q80TQ3,MKIAA0845 protein (Fragment) OS=Mus musculus GN=Nefh PE=2 SV=1,0.120,0.111,0.065,0.724,0.529,0.302,0.000,1.000,1.000,0.000
P99024,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1,1.047,0.904,0.992,0.541,0.523,0.559,0.000,1.000,0.999,0.000
Q3TG37,Putative uncharacterized protein OS=Mus musculus GN=Slc9a3r1 PE=2 SV=1,0.431,0.638,0.200,1.153,1.411,1.199,0.000,1.000,0.999,0.000
I7DM66,PexRAP OS=Mus musculus GN=Dhrs7b PE=2 SV=1,1.688,1.710,1.149,12.527,3.539,5.078,0.000,1.000,0.999,0.000
E9Q7G1,Protein Tmed7 OS=Mus musculus GN=Tmed7 PE=3 SV=1,1.049,1.208,1.105,2.470,2.757,1.769,0.000,0.999,0.998,0.001
Q8K0Z7,Translational activator of cytochrome c oxidase 1 OS=Mus musculus GN=Taco1 PE=1 SV=1,1.564,1.993,1.776,0.610,0.771,1.242,0.000,0.999,0.998,0.001
P48036,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1,0.825,0.825,0.662,0.393,0.371,0.437,0.000,0.999,0.997,0.002
P03995,Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4,0.312,0.346,0.518,0.057,0.105,0.131,0.000,0.998,0.995,0.003
Q9R0E1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Mus musculus GN=Plod3 PE=1 SV=1",11.268,12.212,8.374,3.359,2.091,4.703,0.000,0.998,0.994,0.003
A8DUN2,Beta-globin OS=Mus musculus GN=Hbbt1 PE=3 SV=1,0.039,0.018,0.059,0.117,0.111,0.329,0.000,0.997,0.993,0.004
Q4FZK2,Eukaryotic translation elongation factor 1 gamma OS=Mus musculus GN=Eef1g PE=2 SV=1,4.062,4.881,4.551,2.259,1.889,2.975,0.000,0.997,0.992,0.004
P62141,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3,0.677,1.058,0.832,0.416,0.333,0.594,0.000,0.997,0.991,0.005
Q9JKL4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 OS=Mus musculus GN=Ndufaf3 PE=2 SV=1,1.754,2.024,2.083,0.765,0.907,1.649,0.000,0.996,0.990,0.005
Q9Z2Q6,Septin-5 OS=Mus musculus GN=Sept5 PE=1 SV=2,0.060,0.129,0.080,0.018,0.017,0.031,0.000,0.996,0.990,0.005
Q01853,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4,1.091,0.949,0.959,0.649,0.700,0.674,0.000,0.996,0.989,0.005
Q80X85,"28S ribosomal protein S7, mitochondrial OS=Mus musculus GN=Mrps7 PE=2 SV=1",2.638,3.173,2.154,5.503,6.145,4.515,0.000,0.996,0.989,0.006
Q8BW75,Amine oxidase [flavin-containing] B OS=Mus musculus GN=Maob PE=1 SV=4,0.218,0.233,0.346,0.699,0.562,0.435,0.000,0.995,0.986,0.007
E9PYH2,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=4 SV=1,1.057,0.817,1.163,0.758,0.496,0.598,0.000,0.995,0.986,0.007
P68369,Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1,0.302,0.268,0.274,0.144,0.122,0.098,0.000,0.995,0.986,0.007
Q5FWB6,"MCG17387, isoform CRA_a OS=Mus musculus GN=Rplp0 PE=2 SV=1",4.601,100.000,100.000,5.544,5.260,0.860,0.000,0.993,0.983,0.009
Q3UR55,"ATPase, Na+/K+ transporting, beta 2 polypeptide, isoform CRA_b OS=Mus musculus GN=Atp1b2 PE=2 SV=1",0.203,0.222,0.353,0.057,0.046,0.122,0.000,0.993,0.980,0.011
Q61709,DNA for type IIB intracisternal A-particle element encoding integrase and gag OS=Mus musculus PE=4 SV=1,9.988,9.576,11.270,3.237,3.273,7.487,0.001,0.990,0.974,0.016
P63137,Gamma-aminobutyric acid receptor subunit beta-2 OS=Mus musculus GN=Gabrb2 PE=1 SV=2,1.528,4.120,0.568,0.060,0.012,1.193,0.001,0.990,0.973,0.016
Q4VAE3,Transmembrane protein 65 OS=Mus musculus GN=Tmem65 PE=2 SV=1,1.241,0.631,0.363,0.326,0.220,0.306,0.001,0.990,0.973,0.016
Q9CZD3,Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1,3.620,3.118,3.784,1.870,2.230,2.253,0.001,0.989,0.972,0.016
Q7TSZ6,Karyopherin (Importin) beta 1 OS=Mus musculus GN=Kpnb1 PE=2 SV=1,1.234,1.130,1.076,0.832,0.933,0.828,0.001,0.988,0.968,0.019
P47857,"6-phosphofructokinase, muscle type OS=Mus musculus GN=Pfkm PE=1 SV=3",0.274,0.439,0.401,0.196,0.143,0.158,0.001,0.987,0.967,0.019
Q3UZT7,Putative uncharacterized protein OS=Mus musculus GN=Ctnnb1 PE=2 SV=1,0.789,0.677,0.844,0.571,0.486,0.557,0.001,0.985,0.961,0.025
Q99PU5,Long-chain-fatty-acid--CoA ligase ACSBG1 OS=Mus musculus GN=Acsbg1 PE=1 SV=1,0.534,0.547,0.291,0.109,0.183,0.276,0.001,0.985,0.960,0.025
Q9R0Y5,Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1,0.627,0.501,0.603,0.396,0.199,0.370,0.001,0.984,0.959,0.025
P09411,Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4,0.652,0.440,0.455,0.304,0.279,0.323,0.002,0.984,0.957,0.027
Q9CXW2,"28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=2 SV=1",3.646,4.233,4.163,3.363,1.450,2.317,0.002,0.983,0.956,0.027
