,HSC 1,HSC 2,HSC 3,HSC 4,HSC 5,HSC 6,MPPa 1,MPPa 2,MPPa 3,MPPa 4,MPPa 5,MPPa 6,MPPb 1,MPPb 2,MPPb 3,MPPb 4,MPPb 5,MPPb 6,MPPc 1,MPPc 2,MPPc 3,MPPc 4,MPPc 5,MPPc 6,CLP 1,CLP 2,CLP 3,CLP 4,CLP 5,CLP 6,CMP 1,CMP 2,CMP 3,CMP 4,CMP 5,CMP 6,MEP 1,MEP 2,MEP 3,MEP 4,MEP 5,MEP 6,GMP 1,GMP 2,GMP 3,GMP 4,GMP 5,GMP 6,Old HSC 1,Old HSC 2,Old HSC 3,Old HSC 4,Old HSC 5,Old HSC 6,Old MPPa 1,Old MPPa 2,Old MPPa 3,Old MPPa 4,Old MPPb 1,Old MPPb 2,Old MPPb 3,Old MPPb 4,Old MPPc 1,Old MPPc 2,Old MPPc 3,Old MPPc 4
2-Mar,50.48659405,0,0,0,95.45874652,176.7146653,78.40265027,76.53509404,108.5846832,214.4281611,132.6272142,220.8563977,35.08927462,46.2244521,110.7447103,116.0476296,143.3936494,100.4525998,140.2372347,0,299.4328424,214.1826442,170.8123813,153.506599,0,0,83.26704102,101.1080447,152.417424,34.70272525,140.5920699,123.7361341,29.45184994,116.3797655,132.4509318,161.3107531,142.317983,98.90832097,0,0,108.8131155,79.97536864,180.2039525,33.67983868,121.9983675,83.03496725,64.423019,107.3127412,0,0,138.6583867,74.19578464,120.1986422,172.1856679,0,0,112.4536139,115.8107348,0,0,134.9443412,173.9145228,47.24060388,103.7317167,106.8677946,134.6772663
5-Mar,0,0,0,0,0,0,0,0,0,0,12.18851759,12.31777956,6.556226303,0,0,0,14.47105228,33.45727949,66.63104664,0,15.46618677,43.02193637,16.97688055,27.57246881,0,0,0,0,0,0,22.14958011,35.57669402,0,47.10556944,30.64987984,21.27937748,0,0,0,0,31.0679678,22.27416832,2.210021303,17.3834069,11.36173536,44.71514285,107.4745685,6.840904588,0,0,44.02019885,16.0296479,15.08739175,31.27531051,0,0,37.0005298,28.56153256,0,0,12.20567813,13.61191205,0,0,31.66780693,31.32178987
1-Sep,171.3158282,118.6971993,323.914476,163.1338341,219.0615145,325.7169495,389.3744763,390.6405619,421.7474159,402.452971,358.3202554,293.144137,301.5960769,333.9799471,404.8764658,417.2072082,367.6943616,369.6286879,461.0654467,473.5074731,619.4253598,494.8905816,455.5247146,477.4900196,480.493966,482.6743378,481.9474217,443.1860063,357.3797796,359.3536906,298.4836376,233.439569,300.4676206,255.7590104,282.9407114,207.6573909,0,0,51.29093667,0,74.55658517,86.67759565,47.98493983,176.0077017,150.8547869,109.9708593,27.4769074,94.91842791,259.0598483,241.533598,273.3225326,319.3552736,225.6260085,219.9819686,209.4773226,417.4319746,230.1284954,206.107684,288.0435497,310.9800011,230.096344,247.5980925,497.1161306,315.8494936,354.4707887,393.5547481
2-Sep,222.627624,361.9636929,433.9216814,464.9610268,477.2223691,460.0320751,379.3559488,247.7355347,282.7266499,302.3049133,369.5625831,370.0428842,315.3089109,324.6772688,318.3108182,270.472955,302.816535,274.5887044,236.3031692,262.5118351,271.6303555,84.61397456,295.3376825,293.46159,260.81919,253.864369,290.2087417,292.8900564,342.3212359,291.9140264,319.7475787,289.1857975,413.9325972,246.8759752,322.3915944,300.286432,270.0304488,267.6056621,416.3913908,389.1413074,291.8228645,313.0122077,385.6463468,378.5482693,285.2535004,254.8610029,551.1644939,276.6422945,410.5842788,278.278648,347.4479137,414.1642312,360.0399415,394.1896198,409.7728593,265.4798143,249.6293591,298.3420954,328.9134349,288.6606336,362.1479369,296.4964432,236.5014237,259.6661632,288.4641435,281.8544902
3-Sep,0,0,0,0,0,0,0,0,0,0,0,0,12.74366958,21.63729667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6340574,0,0,0,0,20.6813695,0,0,0,0,0,0,0,0,0,0,0,0,26.33458841,0,0,0,0,0,0,0,0,0
5-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62359222,0,77.00508851,0,0,0,0,0,0
6-Sep,435.7698579,391.5727794,403.7979556,980.0524001,412.1471475,615.9066181,432.7033945,462.9472543,351.9076027,463.672544,503.568941,469.5913493,572.0150469,493.8976234,434.3407362,330.511082,451.1083019,459.3760745,413.1309259,424.6077943,509.7398865,390.8413752,396.830756,433.6192441,631.5167495,689.6532453,562.6503963,495.6123847,487.8849072,594.5479424,510.9864086,428.9760718,491.0668728,371.3499131,288.4076405,351.4695785,235.0814269,160.8108444,334.9611037,200.6050992,192.155287,142.1770429,110.6503766,160.4598915,213.2097269,194.8125884,216.9079751,320.6393668,748.2594275,814.6439907,401.89556,374.7524544,520.2895835,449.9399637,413.5940422,546.2542484,424.5042253,336.7197817,1334.304316,468.337176,457.9893429,296.5628965,509.9924632,565.0110856,463.4278146,414.1569651
7-Sep,250.1900177,495.856493,499.7486145,485.942913,550.2088913,522.430391,610.9955212,668.6425967,548.5997508,508.6817998,332.9612999,496.799927,560.0188466,376.7222621,352.6757914,352.3222769,286.6624235,335.2520501,340.7261894,551.6230281,434.1157648,447.4706352,350.9115317,316.7206919,856.0604247,442.7892142,236.155599,379.2636583,566.1258974,542.4082205,480.977863,390.1641299,396.186861,320.5737914,452.5292158,440.1717889,474.3324048,474.0266505,618.4264178,486.2462511,344.4294323,313.7636374,274.1523253,293.1336873,239.4691137,366.9703879,273.3196965,271.2311103,487.0493306,597.889199,654.5674213,552.7144603,336.6490177,405.251021,392.2100395,362.608302,293.9836644,316.3348929,506.0585924,410.7613879,443.4572814,367.3734179,364.2009318,446.6421194,268.2489161,336.6630404
8-Sep,133.8437587,372.1797091,0,0,110.1843888,114.0140729,0,0,82.73497038,137.8429509,133.3356667,110.69472,68.63450257,0,43.80669093,31.52123557,29.48168036,71.15276757,0,0,0,100.4380002,10.13697863,25.69600692,0,0,0,0,0,0,53.87745331,74.35444816,103.0697888,56.27386177,22.09044029,16.03284065,245.7245718,163.2827871,338.8409507,452.2579479,177.1160627,148.0113935,0,0,0,0,20.14750638,6.875250545,127.9022932,108.1099023,58.5162397,66.3415304,78.00092655,64.5686096,77.42599062,105.8610151,46.70456768,59.58387662,0,0,51.04298086,42.16134476,0,0,54.52429506,0
11-Sep,0,0,0,0,89.76699669,156.1608872,91.94820252,27.50863954,132.4943009,137.0671228,120.8189749,123.1180602,164.0736905,33.93766382,196.9754167,122.4779387,138.6678586,132.9916756,34.60996958,82.95864341,215.1731977,273.957412,101.6206668,112.9469229,236.7154479,137.9822791,196.4518202,165.355788,223.7325676,197.1719941,169.1600513,93.45537289,294.9770546,70.75520668,260.5320117,120.0744304,29.87590952,146.8968328,185.861911,225.2952334,201.1410181,145.6734305,225.8444907,238.756597,191.9917005,256.1115017,294.5180479,159.3476566,104.9172012,91.65918297,115.4519094,121.0694517,135.0381942,173.6654803,90.10815175,69.78490242,126.0823681,174.3527994,0,109.0967843,76.40937279,184.2311073,88.1555264,89.46953681,84.92166055,117.5818463
