Differential gene expression in whole lung bulk RNA-seq data of three replicates of young (3 months) and old mice (22 months),ID,baseMean,gene name,log2FoldChange [old/young],lfcSE,stat,pvalue,padj,Old_1,Old_2,Old_3,young_1,young_2,young_3
,ENSMUSG00000071005,14.24449269,Ccl19,20.84567714,3.909144858,5.332541488,NA,NA,0,0,85.46695614,0,0,0
,ENSMUSG00000094686,450.970219,Ccl21a,10.97975778,3.906839939,2.810393553,NA,NA,0,0,2704.471769,1.349545172,0,0
,ENSMUSG00000090733,6151.926172,Rps27,7.606225162,1.929831335,3.94139375,NA,NA,144.15762,122.4603701,36456.48754,55.33135206,60.61042085,72.50973516
,ENSMUSG00000026246,16.87314452,Alppl2,7.141085735,1.481689398,4.819556478,1.44E-06,1.21E-05,13.6480587,77.92932645,9.661481999,0,0,0
,ENSMUSG00000034892,4614.204508,Rps29,7.092219869,1.79731668,3.94600459,NA,NA,186.8078035,191.3443283,27105.65934,55.33135206,77.14053563,68.94368261
,ENSMUSG00000047222,21.32350308,Rnase2a,6.497502258,2.551249543,2.54679213,NA,NA,123.685532,1.391595115,1.486381846,0,1.377509565,0
,ENSMUSG00000096649,10.72669248,Ighv1-31,6.485411377,2.766907961,2.343920169,0.019082255,0.046771766,0.853003669,60.53438751,2.972763692,0,0,0
,ENSMUSG00000057666,4307.019528,Gapdh,6.470636157,1.846759418,3.503778615,NA,NA,136.480587,147.5090822,25269.97776,87.7204362,126.73088,73.69841934
,ENSMUSG00000091938,10.39677403,Gm2564,6.439477136,3.910025236,1.646914469,NA,NA,0,0.695797558,61.68484661,0,0,0
,ENSMUSG00000090862,2869.294586,Rps13,6.286722126,1.796601698,3.499229759,NA,NA,120.2735173,132.2015359,16745.57788,41.83590034,95.04815997,80.83052444
,ENSMUSG00000076695,1601.244256,Ighv1-18,6.214163765,1.669573932,3.722005743,NA,NA,9111.785189,217.088838,150.8677574,90.41952654,20.66264347,16.64157856
,ENSMUSG00000057322,2275.952835,Rpl38,6.132398433,1.795158012,3.416077244,NA,NA,92.12439622,95.32426539,13276.36265,60.72953275,55.10038259,76.07578771
,ENSMUSG00000093861,4852.571581,Igkv1-110,6.077233668,1.55414675,3.910334509,NA,NA,27258.58524,734.0664233,697.8562767,260.4622182,55.10038259,109.3589448
,ENSMUSG00000058546,1014.490232,Rpl23a,5.937399769,1.772977569,3.348829603,NA,NA,62.26926782,43.13944857,5883.842537,21.59272276,26.17268173,49.92473568
,ENSMUSG00000038274,3879.650669,Fau,5.922794949,1.685971365,3.51298668,NA,NA,237.1350199,266.4904646,22396.80166,134.9545172,112.9557843,129.5665759
