,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|E9QM38|E9QM38_MOUSE,Slc12a2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,5,10.0,11.1,9.5,9.5,12.4,9.3,7.9,9.3,10.8,10.2,0.20124,0.44037
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,16,10.2,9.9,8.3,10.5,8.5,11.1,10.0,10.7,9.8,11.0,0.09343,0.37016
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,3,9.4,9.4,7.8,10.2,10.7,11.1,9.5,10.7,10.7,10.4,0.12691,0.39802
sp|Q64261|CDK6_MOUSE,Cdk6,Cyclin-dependent kinase 6 OS=Mus musculus OX=10090 GN=Cdk6 PE=1 SV=2,5,9.7,10.2,8.3,11.7,8.4,12.1,10.5,9.6,9.1,10.2,0.44560,0.54787
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,2,8.6,11.2,7.9,13.5,7.4,11.9,11.2,10.9,9.4,7.9,0.67838,0.62914
sp|P97377|CDK2_MOUSE,Cdk2,Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2,2,9.7,9.6,11.2,11.9,9.0,12.2,11.1,9.2,8.6,7.6,0.61040,0.60418
sp|Q69ZA1|CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3,1,9.9,10.1,8.0,11.2,9.2,12.1,9.8,10.9,9.1,9.7,0.42117,0.53970
sp|Q62101|KPCD1_MOUSE,Prkd1,Serine/threonine-protein kinase D1 OS=Mus musculus OX=10090 GN=Prkd1 PE=1 SV=2,2,9.6,11.3,5.9,10.7,9.3,11.3,9.9,11.2,10.7,10.2,0.24989,0.46129
sp|Q8K0D0|CDK17_MOUSE,Cdk17,Cyclin-dependent kinase 17 OS=Mus musculus OX=10090 GN=Cdk17 PE=1 SV=2,2,9.1,9.4,8.1,13.0,12.0,11.8,8.5,9.6,10.6,7.9,0.60082,0.60039
sp|Q99J95|CDK9_MOUSE,Cdk9,Cyclin-dependent kinase 9 OS=Mus musculus OX=10090 GN=Cdk9 PE=1 SV=1,1,11.9,10.6,8.6,10.8,11.9,8.1,9.1,9.9,8.5,10.6,0.07851,0.35240
sp|P41241|CSK_MOUSE,Csk,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,8,9.0,9.9,8.7,10.1,11.0,11.0,10.0,10.5,9.8,10.0,0.30513,0.48913
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",8,10.1,10.7,7.0,12.3,7.9,12.2,9.0,10.2,10.0,10.7,0.48807,0.56336
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,4,9.9,10.6,10.8,10.2,8.6,10.8,9.7,9.9,8.8,10.7,0.94956,0.70366
