,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|E9QM38|E9QM38_MOUSE,Slc12a2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,2,11.2,9.4,8.3,9.5,10.1,9.4,10.4,9.7,10.5,11.6,0.34855,0.26736
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,3,8.9,9.2,12.0,15.0,11.8,7.0,9.3,8.6,7.4,10.6,0.07068,0.14175
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,1,10.9,7.4,15.3,10.5,11.0,3.9,9.6,10.8,10.9,9.8,0.29934,0.24827
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,1,9.4,9.0,10.3,11.0,11.3,7.9,11.6,11.3,8.8,9.5,0.67770,0.38646
tr|A0A0G2JGW6|A0A0G2JGW6_MOUSE,Cdkl5,Cyclin-dependent kinase-like 5 OS=Mus musculus OX=10090 GN=Cdkl5 PE=1 SV=1,1,10.5,8.6,10.5,9.1,11.2,7.6,10.4,11.5,10.7,9.8,0.98956,0.47910
sp|P11440|CDK1_MOUSE,Cdk1,Cyclin-dependent kinase 1 OS=Mus musculus OX=10090 GN=Cdk1 PE=1 SV=3,1,10.8,5.5,13.4,12.0,13.3,4.7,12.4,6.1,12.3,9.5,0.37445,0.27784
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",2,10.4,8.1,9.5,10.1,10.6,9.4,10.7,10.6,10.9,9.7,0.36534,0.27423
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,1,9.3,8.5,11.0,10.7,9.4,8.9,12.5,9.0,10.0,10.6,0.62794,0.36854
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",2,10.1,11.2,6.3,7.7,8.9,18.2,8.4,9.3,10.1,9.8,0.28416,0.24222
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,2,8.4,8.3,10.8,13.1,16.1,8.1,8.1,8.6,8.9,9.6,0.14500,0.17808
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,4,9.3,8.2,10.4,13.9,14.4,8.4,7.7,9.1,7.9,10.6,0.11616,0.16405
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,3,7.3,9.2,8.4,11.1,10.3,9.4,12.4,10.4,10.2,11.2,0.12859,0.16990
sp|Q6P549|SHIP2_MOUSE,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1",5,9.9,9.5,9.7,11.4,8.5,9.5,11.2,10.6,10.7,9.1,0.54960,0.34099
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,2,8.3,8.5,10.2,10.2,14.3,9.2,9.8,9.0,9.2,11.3,0.62179,0.36625
tr|A0A1B0GSX6|A0A1B0GSX6_MOUSE,Pdlim3,"PDZ and LIM domain 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1",36,9.1,8.5,8.3,8.5,9.7,10.8,10.5,10.9,11.1,12.4,0.00064,0.03676
sp|O35226|PSMD4_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,7,10.6,10.1,10.7,9.1,9.9,9.0,9.9,9.5,10.4,10.7,0.66698,0.38269
tr|F7AI87|F7AI87_MOUSE,Psmd4,26S proteasome non-ATPase regulatory subunit 4 (Fragment) OS=Mus musculus OX=10090 GN=Psmd4 PE=1 SV=1,1,10.5,9.7,10.5,10.4,11.3,9.2,10.0,8.9,9.9,9.5,0.01951,0.10024
sp|Q9ERG2|STRN3_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,7,9.9,9.4,9.1,10.4,9.4,10.1,10.3,10.4,9.9,11.2,0.05318,0.13233
tr|B2RQS1|B2RQS1_MOUSE,Strn3,Striatin-3 OS=Mus musculus OX=10090 GN=Strn3 PE=1 SV=1,1,9.3,10.9,8.5,10.8,10.1,10.5,9.5,10.3,9.7,10.4,0.82460,0.43388
sp|Q6ZQ73|CAND2_MOUSE,Cand2,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus OX=10090 GN=Cand2 PE=1 SV=2,30,10.1,11.5,9.8,9.5,8.0,10.7,11.0,9.1,9.9,10.3,0.53962,0.33745
sp|Q6ZQ38|CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,17,9.3,10.1,11.2,11.8,11.3,8.3,9.3,9.5,8.8,10.4,0.03375,0.11756
sp|Q91Z67|SRGP2_MOUSE,Srgap2,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus OX=10090 GN=Srgap2 PE=1 SV=2,1,8.6,9.6,12.4,9.7,12.5,7.2,8.9,9.4,10.1,11.5,0.30423,0.25022
sp|P28352|APEX1_MOUSE,Apex1,DNA-(apurinic or apyrimidinic site) lyase OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,2,8.1,9.1,12.4,18.9,8.5,9.0,9.7,7.4,7.8,9.0,0.23499,0.22077
