UniProt Accession,Protein Name,5 month old mouse 1 H:L,5 month old mouse 2 H:L,5 month old mouse 3 H:L,12 month old mouse 1 H:L,12 month old mouse 2 H:L,12 month old mouse 3 H:L,P-value,Cum.PPDE (p),PPDE (p),BH (FDR)
P63216,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 OS=Mus musculus GN=Gng3 PE=1 SV=1,1.431,1.348,0.836,0.092,0.070,0.091,0.000,1.000,1.000,0.000
Q3UHL1,CaM kinase-like vesicle-associated protein OS=Mus musculus GN=Camkv PE=1 SV=2,0.055,0.031,0.050,0.281,0.212,0.238,0.000,1.000,1.000,0.000
Q64426,Histone H2A (Fragment) OS=Mus musculus domesticus GN=H2A PE=2 SV=1,5.131,8.062,6.282,1.922,2.611,2.141,0.000,1.000,1.000,0.000
Q8K0Z7,Translational activator of cytochrome c oxidase 1 OS=Mus musculus GN=Taco1 PE=1 SV=1,1.564,1.993,1.776,0.766,0.699,1.016,0.000,1.000,1.000,0.000
B2RVP5,Histone H2A OS=Mus musculus GN=H2afv PE=2 SV=1,6.328,9.385,6.008,2.365,2.757,2.724,0.000,1.000,1.000,0.000
Q9QZQ8,Core histone macro-H2A.1 OS=Mus musculus GN=H2afy PE=1 SV=3,2.220,3.785,1.975,0.816,1.069,0.986,0.000,1.000,1.000,0.000
Q3UR55,"ATPase, Na+/K+ transporting, beta 2 polypeptide, isoform CRA_b OS=Mus musculus GN=Atp1b2 PE=2 SV=1",0.203,0.222,0.353,0.048,0.072,0.055,0.000,1.000,1.000,0.000
P43274,Histone H1.4 OS=Mus musculus GN=Hist1h1e PE=1 SV=2,6.131,8.605,7.248,2.424,3.674,2.412,0.000,1.000,1.000,0.000
Q9ESU7,Neutral amino acid transporter ASCT2 OS=Mus musculus GN=Slc1a5 PE=2 SV=1,2.212,6.903,3.128,0.383,0.881,1.386,0.000,1.000,1.000,0.000
Q9D0L4,Uncharacterized aarF domain-containing protein kinase 1 OS=Mus musculus GN=Adck1 PE=2 SV=1,1.815,2.399,1.365,0.917,0.924,1.012,0.000,1.000,0.999,0.001
I7DM66,PexRAP OS=Mus musculus GN=Dhrs7b PE=2 SV=1,1.688,1.710,1.149,3.276,3.866,2.802,0.000,1.000,0.999,0.001
B2RTM0,Histone H4 OS=Mus musculus GN=Hist2h4 PE=3 SV=1,7.411,11.598,8.668,2.985,4.061,3.434,0.000,1.000,0.999,0.001
Q9CPU4,Microsomal glutathione S-transferase 3 OS=Mus musculus GN=Mgst3 PE=1 SV=1,0.010,0.010,0.102,0.225,0.226,0.161,0.000,1.000,0.999,0.001
