Protein IDs,Majority protein IDs,Protein names,Gene names,function_annotation,Average Conc. (pmol/mg)_OLD Hippocampus,SD,Average Conc. (pmol/mg)_YOUNG Hippocampus,SD,t test OC/YC Hippocampus,rationO/Y Hippocampus,Average Conc. (pmol/mg)_OLD Cortex,SD,Average Conc. (pmol/mg)_YOUNG Cortex,SD,t test OC/YC Cortex,rationO/Y Cortex,Average Conc. (pmol/mg)_OLD Cerebellum,SD,Average Conc. (pmol/mg)_YOUNG Cerebellum,SD,t test OC/YC Cerebellum,rationO/Y Cerebellum
Q7TNB5,Q7TNB5,,Gria1,GLUtamate,3.572700906,0.631524303,3.371301794,0.739663115,0.591752061,1.059739271,0.908652255,0.396188638,0.763938227,0.277362964,0.522274243,1.189431583,1.875441851,0.310262191,1.796288958,0.43123475,0.713895607,1.044064677
P23818;F6YNQ1,P23818;F6YNQ1,Glutamate receptor 1,Gria1,GLUtamate,0.077055771,0.024721355,0.01690702,0.026117656,0.001285045,4.557620011,0.062383179,0.014962253,0.053559393,0.073605679,0.799431053,1.164747693,0.161587284,0.070388947,0.119433737,0.099563115,0.427826607,1.352945058
P23819-4;P23819,P23819-4;P23819,Glutamate receptor 2,Gria2,GLUtamate,9.458589784,1.230049937,10.0134633,1.531467612,0.397417914,0.944587253,6.09890926,0.502640696,4.870798734,1.051241294,0.046192718,1.252137399,1.907181618,0.134286496,1.832886249,0.345622183,0.315630066,1.040534631
E9QKC0;A0A0A6YW90;P23819-2,E9QKC0;A0A0A6YW90;P23819-2,Glutamate receptor 2,Gria2,GLUtamate,0.011832426,0.016810013,0.05170732,0.008947477,0.031095188,0.228834648,0.035674383,0.049271635,0.113080621,0.047076054,0.034714504,0.315477424,0.244155928,0.040036322,0.238264892,0.100863103,0.8219937,1.024724735
Q9Z2W9,Q9Z2W9,Glutamate receptor 3,Gria3,GLUtamate,0.861911149,0.223643182,0.951207365,0.166619081,0.411307683,0.906123292,1.091890734,0.356401424,0.917791357,0.32199881,0.441094358,1.189693851,0.681500926,0.18192147,0.573476153,0.177095154,0.340305084,1.188368378
G5E863;E9PX01,G5E863,,Gria4,GLUtamate,0.027492018,0.016278671,0.057689726,0.006732096,0.008009065,0.476549634,0.168544328,0.049960794,0.289494512,0.116311627,0.065132066,0.582202152,1.484706933,0.178917928,1.612213785,0.405936069,0.432786619,0.920911945
Q61627,Q61627,"Glutamate receptor ionotropic, delta-1",Grid1,GLUtamate,0.059371928,0.013897634,0.114582666,0.015292007,0.000308065,0.518158024,0.049275127,0.013968871,0.111322123,0.051567686,0.05922805,0.442635533,0.017247615,0.017259902,0.011514309,0.015719397,0.493502506,1.497928796
Q61625;E0CZG1,Q61625,"Glutamate receptor ionotropic, delta-2",Grid2,GLUtamate,0.018089501,0.002968674,0.018385623,0.005879517,0.900887346,0.98389385,0.034333382,0.014504916,0.06691466,0.024498266,0.033702185,0.51309208,6.289168906,1.197424882,5.661033426,1.584629351,0.452104456,1.110957741
Q0QWG9-3,Q0QWG9-3,Delphilin,Grid2ip,GLUtamate,,,,,,,,,,,,,0.687882582,0.099161426,0.871382405,0.492159328,0.46386747,0.789415277
P39087;D3Z797;P39087-2;Q6PAQ0,P39087;D3Z797;P39087-2,"Glutamate receptor ionotropic, kainate 2",Grik2,GLUtamate,0.115021125,0.024358538,0.193707052,0.028966908,0.008261585,0.593789041,0.094065818,0.08102104,0.084249402,0.02751409,0.804014671,1.116516155,0.082982074,0.039338148,0.186628495,0.133759254,0.018608952,0.444637751
B1AS29,B1AS29,"Glutamate receptor ionotropic, kainate 3",Grik3,GLUtamate,0.066547886,0.020283282,0.141502373,0.025465086,0.006800265,0.470295197,0.252355663,0.066341523,0.542827517,0.15833096,0.0053609,0.464891065,0.18064304,0.055053776,0.173003342,0.078762316,0.853774284,1.04415925
Q61626,Q61626,"Glutamate receptor ionotropic, kainate 5",Grik5,GLUtamate,0.053292683,0.003500449,0.072159046,0.015871744,0.000903965,0.73854473,0.030630024,0.014470837,0.072936019,0.05222712,0.119037993,0.419957448,0.003085477,0.003947258,0.003563152,0.003781932,0.90734558,0.865940281
A2AI21;P35438;A2AI14;A2AI17;A2AI16;P35438-2,A2AI21;P35438;A2AI14;A2AI17;A2AI16;P35438-2,"Glutamate receptor ionotropic, NMDA 1",Grin1,GLUtamate,2.950279945,0.290730152,3.306563441,0.676708656,0.114564713,0.892249611,2.682138087,0.341962232,4.879302084,0.229285521,2.23729E-06,0.549697076,0.726184497,0.172584583,0.794139899,0.242552489,0.465563609,0.914428929
A2AI20;A2AI19,A2AI20;A2AI19,,Grin1,GLUtamate,0.007940126,0.006688841,0.005126556,0.0019231,0.412574769,1.548822602,0.004426488,0.006338016,0.015645501,0.00811967,0.040852087,0.282924045,0.003203806,0.003283329,0.001064205,0.001501705,0.27195066,3.010515697
P35436,P35436,"Glutamate receptor ionotropic, NMDA 2A",Grin2a,GLUtamate,0.534250535,0.069846692,0.466544456,0.105125819,0.134885826,1.14512246,0.392130352,0.033391464,0.605414408,0.126153937,0.006451439,0.647705683,0.011826147,0.008106565,0.022574602,0.019901715,0.242918477,0.523869589
Q01097;G3X9V4;A0A0G2JEA7,Q01097;G3X9V4,"Glutamate receptor ionotropic, NMDA 2B",Grin2b,GLUtamate,1.183780229,0.080988625,1.522890499,0.163835982,0.001509797,0.777324588,1.011189239,0.072198592,1.670730416,0.336436281,0.002665931,0.605237823,0.000619282,0.001384757,0.001928508,0,0.423147087,0.321119822
Q01098,Q01098,"Glutamate receptor ionotropic, NMDA 2C",Grin2c,GLUtamate,0.004736457,0.006641314,0.008913551,0,0.303399724,0.531377076,0,0,0.008049331,0.014630047,0.253543883,0,0.210726728,0.071349327,0.236672491,0.236434035,0.598904208,0.890372712
Q03391,Q03391,"Glutamate receptor ionotropic, NMDA 2D",Grin2d,GLUtamate,0.002552637,0.001507732,0.004258909,0.006137689,0.290961771,0.599364122,0,0,0.009545953,0.009707995,0.059109523,0,0.019781976,0.003228197,0.009763264,0.006320509,0.000273111,2.026164214
A2AIR4;A2AIR5,A2AIR4;A2AIR5,,Grin3a,GLUtamate,0.009090551,0.005790212,0.037313694,0.009233813,3.3889E-05,0.24362507,0.024713751,0.013893134,0.02035205,0.021975477,0.71731106,1.214312592,0.003953451,0.003317159,0.001647312,0.001573564,0.245025986,2.399941287
P97772;P97772-2;P97772-3,P97772;P97772-2,Metabotropic glutamate receptor 1,Grm1,GLUtamate,0.225720288,0.036817839,0.201341404,0.073364048,0.306450551,1.12108232,0.358608964,0.081983225,0.298019536,0.089253758,0.296047821,1.203306901,2.058968513,0.319862495,2.397235672,1.052676173,0.373252565,0.858892823
Q14BI2,Q14BI2,Metabotropic glutamate receptor 2,Grm2,GLUtamate,1.023868071,0.126378356,1.331497089,0.160070773,0.044082482,0.768960052,1.581887338,0.538883742,2.067510841,0.802232523,0.293760173,0.765116829,0.99238404,0.265031786,0.605466363,0.303646112,0.016190863,1.639040748
Q9QYS2,Q9QYS2,Metabotropic glutamate receptor 3,Grm3,GLUtamate,1.190498385,0.096874786,1.466555568,0.139898585,0.008046478,0.811764935,1.79328121,0.603864229,2.705045078,0.810394759,0.078385672,0.662939492,0.447471238,0.084067769,0.391876714,0.07161457,0.315817312,1.141867382
Q68EF4;G3XA00;Q68EF4-2,Q68EF4;G3XA00;Q68EF4-2,Metabotropic glutamate receptor 4,Grm4,GLUtamate,0.074987797,0.024095429,0.085029463,0.021501667,0.531415375,0.881903696,0.038663133,0.015510214,0.079497151,0.029965052,0.026818938,0.48634615,0.523710631,0.123954855,0.846023172,0.542617609,0.030006135,0.619026344
Q3UVX5;E9QMC2;F6YJ89;F6WSV0;Q3UVX5-2;REV__P0DM65,Q3UVX5;E9QMC2;F6YJ89;F6WSV0,Metabotropic glutamate receptor 5,Grm5,GLUtamate,0.789464072,0.10201134,0.939424911,0.211717674,0.02981275,0.840369532,0.601397446,0.156620534,0.752278916,0.139150136,0.145983933,0.799434138,0.012753402,0.014101762,0.020833335,0.01442879,0.594004432,0.612163249
Q68ED2;G5E8D5;G3UYV0;G3UZU3;G3UY08,Q68ED2;G5E8D5,Metabotropic glutamate receptor 7,Grm7,GLUtamate,0.439414992,0.065415637,0.475785868,0.093987583,0.374863185,0.923556208,0.193315558,0.039318178,0.393401134,0.186264304,0.046666682,0.49139553,0.015918059,0.027374345,0.023297019,0.021174013,0.603287883,0.683265889
P47743;Q05BD6;D3YZL1,P47743;Q05BD6,Metabotropic glutamate receptor 8,Grm8,GLUtamate,0.005607089,0.003738607,0.012962413,0.005388401,0.191549764,0.432565242,0.010451897,0.014043946,0.013779097,0.015529392,0.73152913,0.758532763,0.007270652,0.004139142,0.003889813,0.004593959,0.455170506,1.869152195
Q9WV18;Q3TWR2,Q9WV18,Gamma-aminobutyric acid type B receptor subunit 1,Gabbr1,GABA,0.402210304,0.083893708,0.545029128,0.172499778,0.035201654,0.737961117,0.518642307,0.272259087,0.845717993,0.278781998,0.097373339,0.613256796,0.669533904,0.124044908,0.812615906,0.357567956,0.236638103,0.823924192
Q80T41,Q80T41,Gamma-aminobutyric acid type B receptor subunit 2,Gabbr2,GABA,0.903607014,0.045320408,1.042397776,0.109894104,0.021648799,0.866854318,1.063904148,0.177500634,1.308908559,0.333279976,0.184870839,0.812817779,0.931030886,0.141610726,0.95898953,0.309849589,0.799726846,0.970845726
P62812,P62812,Gamma-aminobutyric acid receptor subunit alpha-1,Gabra1,GABA,1.434973431,0.165087407,1.695682399,0.189775969,0.059472061,0.846251298,0.973390181,0.318049284,0.892946628,0.437716464,0.748092765,1.09008775,1.288337395,0.12209817,1.493596139,0.35144038,0.32104417,0.862574133
P26048,P26048,Gamma-aminobutyric acid receptor subunit alpha-2,Gabra2,GABA,0.471723896,0.067407569,0.467519524,0.107868313,0.958479215,1.008992934,0.219030304,0.147648883,0.289268708,0.148947049,0.475376304,0.757186305,0.097142397,0.015532289,0.090821249,0.064380536,0.671742682,1.069599876
P26049;B1AVY2;E9Q2L8;A0A0G2JGP5,P26049;B1AVY2,Gamma-aminobutyric acid receptor subunit alpha-3,Gabra3,GABA,0.066219031,0.028833003,0.142145477,0.03012216,0.002216477,0.465853944,0.14919974,0.033076807,0.200495907,0.111676437,0.353564646,0.744153547,0.011090034,0.01063914,0.012614272,0.009126539,0.814175399,0.879165547
Q9D6F4;Q3USX9;A0A0G2JDR1,Q9D6F4;Q3USX9,Gamma-aminobutyric acid receptor subunit alpha-4,Gabra4,GABA,0.080583965,0.020632152,0.06247091,0.015194675,0.27181892,1.289943835,0.16277804,0.033568668,0.382475367,0.131816952,0.006866203,0.425590911,0.005389942,0.004987009,0.007826052,0.009186315,0.451999536,0.68871781
