,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,9,9.9,10.2,10.7,9.5,10.2,9.7,9.6,10.5,9.7,10.1,0.46378,0.51785
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,5,10.9,10.4,11.0,9.1,9.4,9.5,9.3,9.3,10.5,10.6,0.53210,0.54528
sp|Q64261|CDK6_MOUSE,Cdk6,Cyclin-dependent kinase 6 OS=Mus musculus OX=10090 GN=Cdk6 PE=1 SV=2,3,14.6,14.1,12.4,8.1,11.2,9.5,8.5,6.9,7.9,6.8,0.01976,0.16205
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,4,9.7,9.3,10.4,9.7,10.3,10.7,10.0,10.9,9.6,9.5,0.54146,0.54881
sp|Q69ZA1|CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3,4,9.9,10.4,10.0,9.4,9.3,10.3,10.4,9.8,10.8,9.6,0.25383,0.40643
tr|A0A0G2JGW6|A0A0G2JGW6_MOUSE,Cdkl5,Cyclin-dependent kinase-like 5 OS=Mus musculus OX=10090 GN=Cdkl5 PE=1 SV=1,1,10.2,9.4,11.2,10.2,9.5,9.7,9.9,9.6,10.7,9.6,0.65263,0.58918
sp|P08103|HCK_MOUSE,Hck,Tyrosine-protein kinase HCK OS=Mus musculus OX=10090 GN=Hck PE=1 SV=4,2,9.8,11.3,12.7,7.1,6.7,9.1,11.3,8.6,13.7,9.7,0.52111,0.54104
sp|Q8BZ03|KPCD2_MOUSE,Prkd2,Serine/threonine-protein kinase D2 OS=Mus musculus OX=10090 GN=Prkd2 PE=1 SV=1,1,9.7,10.4,10.4,10.6,10.2,7.0,11.5,10.1,10.5,9.7,0.55183,0.55262
sp|Q62101|KPCD1_MOUSE,Prkd1,Serine/threonine-protein kinase D1 OS=Mus musculus OX=10090 GN=Prkd1 PE=1 SV=2,1,12.7,11.1,8.9,6.0,9.2,10.4,10.8,10.2,11.1,9.6,0.51055,0.53687
tr|Q5FWX6|Q5FWX6_MOUSE,Prkd3,Serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Prkd3 PE=1 SV=1,3,10.5,11.1,11.2,10.3,9.8,8.0,9.1,10.2,10.8,8.9,0.08519,0.26291
