,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|E9QM38|E9QM38_MOUSE,Slc12a2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,3,12.1,19.2,12.5,10.3,11.9,6.6,7.3,6.3,6.1,7.6,0.01333,0.05546
sp|P39688|FYN_MOUSE,Fyn,Tyrosine-protein kinase Fyn OS=Mus musculus OX=10090 GN=Fyn PE=1 SV=4,1,8.4,10.9,9.3,8.6,9.8,13.1,10.3,8.0,11.3,10.3,0.25104,0.23560
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,7,10.6,8.8,10.3,8.2,10.7,10.3,12.0,8.8,10.9,9.2,0.53779,0.36107
sp|P05480|SRC_MOUSE,Src,Neuronal proto-oncogene tyrosine-protein kinase Src OS=Mus musculus OX=10090 GN=Src PE=1 SV=4,3,11.6,9.6,8.7,7.1,13.4,9.0,11.0,8.6,11.7,9.3,0.89560,0.48421
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,5,8.3,7.6,7.8,8.0,4.9,14.3,12.6,11.8,12.4,12.4,0.00017,0.01106
sp|Q64261|CDK6_MOUSE,Cdk6,Cyclin-dependent kinase 6 OS=Mus musculus OX=10090 GN=Cdk6 PE=1 SV=2,1,6.5,7.3,5.8,5.9,8.9,13.8,14.2,13.7,12.1,11.9,0.00004,0.00625
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,3,9.1,10.3,9.2,10.3,9.7,10.7,13.2,8.2,9.4,10.0,0.54710,0.36463
sp|Q69ZA1|CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3,2,8.6,8.6,9.3,9.0,7.4,12.7,10.6,11.2,11.4,11.1,0.00034,0.01439
tr|A0A0G2JGW6|A0A0G2JGW6_MOUSE,Cdkl5,Cyclin-dependent kinase-like 5 OS=Mus musculus OX=10090 GN=Cdkl5 PE=1 SV=1,1,9.5,12.3,8.7,10.7,9.0,10.5,10.2,10.0,8.7,10.4,0.89569,0.48424
sp|P08103|HCK_MOUSE,Hck,Tyrosine-protein kinase HCK OS=Mus musculus OX=10090 GN=Hck PE=1 SV=4,1,6.4,9.0,4.0,4.4,7.1,13.9,10.7,14.9,14.6,14.9,0.00025,0.01282
sp|Q62101|KPCD1_MOUSE,Prkd1,Serine/threonine-protein kinase D1 OS=Mus musculus OX=10090 GN=Prkd1 PE=1 SV=2,1,13.0,11.3,11.0,14.8,5.2,9.1,11.2,9.9,6.8,7.6,0.27542,0.24753
tr|F8VQL0|F8VQL0_MOUSE,Met,Hepatocyte growth factor receptor OS=Mus musculus OX=10090 GN=Met PE=1 SV=1,1,10.7,12.2,8.9,8.5,15.3,9.9,9.0,7.4,8.2,10.0,0.15666,0.18179
sp|P30285|CDK4_MOUSE,Cdk4,Cyclin-dependent kinase 4 OS=Mus musculus OX=10090 GN=Cdk4 PE=1 SV=1,2,8.6,11.2,10.4,10.7,10.4,11.1,9.7,8.4,9.4,10.1,0.42070,0.31267
sp|Q8K0D0|CDK17_MOUSE,Cdk17,Cyclin-dependent kinase 17 OS=Mus musculus OX=10090 GN=Cdk17 PE=1 SV=2,1,9.8,9.2,7.8,9.1,11.1,10.4,10.0,9.5,9.8,13.3,0.19877,0.20784
sp|Q62190|RON_MOUSE,Mst1r,Macrophage-stimulating protein receptor OS=Mus musculus OX=10090 GN=Mst1r PE=1 SV=3,1,11.8,11.9,7.6,5.8,11.4,10.2,8.8,10.9,12.6,9.1,0.68058,0.41636
sp|P41241|CSK_MOUSE,Csk,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,5,8.8,8.6,8.3,8.2,8.0,11.7,11.4,11.4,11.6,12.2,0.00000,0.00052
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",1,13.3,13.6,9.5,14.6,9.0,8.2,9.5,7.6,6.8,7.7,0.02101,0.06633
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,5,9.0,8.5,10.6,9.7,11.7,10.1,9.9,9.7,9.4,11.4,0.73326,0.43458
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",5,11.5,11.2,13.4,12.1,8.7,8.9,9.7,7.0,8.5,8.9,0.01774,0.06218
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,19,9.7,11.6,11.3,11.6,9.7,8.8,8.0,9.0,10.2,10.2,0.04116,0.08878
tr|A2AJ72|A2AJ72_MOUSE,Fubp3,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,6,9.9,10.4,10.6,10.0,11.3,9.7,9.7,8.5,9.2,10.6,0.07085,0.11687
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,5,9.6,11.4,11.0,11.8,9.1,9.4,9.5,9.5,9.6,9.2,0.09442,0.13651
sp|Q91V81|RBM42_MOUSE,Rbm42,RNA-binding protein 42 OS=Mus musculus OX=10090 GN=Rbm42 PE=1 SV=1,1,11.3,11.4,10.2,8.9,7.6,11.6,9.3,8.9,10.3,10.5,0.80093,0.45639
sp|Q99KD5|UN45A_MOUSE,Unc45a,Protein unc-45 homolog A OS=Mus musculus OX=10090 GN=Unc45a PE=1 SV=2,4,8.9,9.6,9.3,9.1,16.0,10.2,9.4,8.0,8.9,10.4,0.44620,0.32308
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ddrgk1 PE=1 SV=2,1,9.4,8.6,10.4,9.5,11.1,11.7,9.1,10.0,10.3,9.9,0.52303,0.35532
sp|Q80UM7|MOGS_MOUSE,Mogs,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,9,9.4,9.1,9.4,8.1,15.3,9.2,8.1,9.8,10.8,10.8,0.71685,0.42903
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,7,7.3,6.9,7.3,7.5,7.5,11.8,8.2,14.7,11.2,17.4,0.02715,0.07369
sp|Q6P549|SHIP2_MOUSE,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1",6,7.8,11.0,10.6,12.7,7.3,12.3,7.4,13.3,9.1,8.4,0.89958,0.48532
sp|Q9ES52|SHIP1_MOUSE,Inpp5d,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 OS=Mus musculus OX=10090 GN=Inpp5d PE=1 SV=2",3,6.8,8.2,7.1,7.1,6.5,12.6,9.6,13.4,12.3,16.5,0.00528,0.03874
