Accession,Significance,-10lgP,Intensity Young,Intensity Aged,Ratio Young,Ratio Aged,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
tr|A3KGU7|A3KGU7_MOUSE,2.93,483,20.801,26.227,1,1.26,1,180,2,TMT6plex,285151,Spectrin alpha chain  non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=1
tr|A3KGU5|A3KGU5_MOUSE,2.91,482.71,7.067,5.465,1,0.77,1,179,1,TMT6plex,282893,Spectrin alpha chain  non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=1
Q68FD5|CLH1_MOUSE,3.01,447.93,1.55E+04,1.48E+04,1,0.95,62,102,93,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),191555,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3
tr|Q5SXR6|Q5SXR6_MOUSE,3.01,447.93,1.55E+04,1.48E+04,1,0.95,62,102,93,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),191985,Clathrin heavy chain OS=Mus musculus GN=Cltc PE=1 SV=1
Q62261|SPTB2_MOUSE,0.85,438.33,1.04E+04,1.00E+04,1,0.96,55,146,119,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),274221,Spectrin beta chain  non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2
Q9JHU4|DYHC1_MOUSE,1.26,426.3,4.95E+03,4.79E+03,1,0.97,38,172,159,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),532050,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2
tr|Q68FG2|Q68FG2_MOUSE,1.87,406.06,3.24E+03,3.02E+03,1,0.93,46,104,83,Carbamidomethylation; TMT6plex; Deamidation (NQ),270921,Spectrin beta chain OS=Mus musculus GN=Sptbn2 PE=1 SV=1
Q9QYR6|MAP1A_MOUSE,0.9,399.16,5.13E+03,4.94E+03,1,0.96,41,97,90,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),300139,Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=2
tr|A2ARP8|A2ARP8_MOUSE,0.9,399.16,5.13E+03,4.94E+03,1,0.96,38,97,90,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),325886,Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=1
P68369|TBA1A_MOUSE,1.53,394.14,64.093,61.728,1,0.96,3,54,1,TMT6plex,50136,Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1
P20357|MTAP2_MOUSE,3.58,393.47,4.74E+03,4.24E+03,1,0.89,36,79,60,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),199130,Microtubule-associated protein 2 OS=Mus musculus GN=Map2 PE=1 SV=2
P68373|TBA1C_MOUSE,1.19,389.85,41.043,45.098,1,1.10,5,53,1,Carbamidomethylation; TMT6plex; Deamidation (NQ),49909,Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1
Q9QXS1|PLEC_MOUSE,1.92,389.61,2.24E+03,2.15E+03,1,0.96,25,126,106,Carbamidomethylation; TMT6plex; Deamidation (NQ),534193,Plectin OS=Mus musculus GN=Plec PE=1 SV=3
Q6PIC6|AT1A3_MOUSE,1.06,389.58,1.35E+04,1.35E+04,1,1.00,34,73,45,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),111691,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Mus musculus GN=Atp1a3 PE=1 SV=1
tr|A0A0G2JGX4|A0A0G2JGX4_MOUSE,1.06,389.58,1.35E+04,1.35E+04,1,1.00,34,73,45,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),112988,Sodium/potassium-transporting ATPase subunit alpha OS=Mus musculus GN=Atp1a3 PE=1 SV=1
P68372|TBB4B_MOUSE,1.3,388,763.187,913.954,1,1.20,3,69,1,TMT6plex,49831,Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1
Q7TMM9|TBB2A_MOUSE,2.33,387.76,1.86E+03,1.64E+03,1,0.88,4,70,2,TMT6plex; Deamidation (NQ),49907,Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1
Q9CWF2|TBB2B_MOUSE,4.27,386.58,176.424,108.746,1,0.62,3,69,1,TMT6plex,49953,Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1
Q9D6F9|TBB4A_MOUSE,4.26,386.37,2.39E+03,2.65E+03,1,1.11,16,64,7,TMT6plex; Oxidation (M); Deamidation (NQ),49586,Tubulin beta-4A chain OS=Mus musculus GN=Tubb4a PE=1 SV=3
P99024|TBB5_MOUSE,2.04,385.77,2.79E+03,3.05E+03,1,1.09,16,66,6,TMT6plex; Oxidation (M); Deamidation (NQ),49671,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1
O08553|DPYL2_MOUSE,1.07,381.42,1.12E+04,1.16E+04,1,1.04,60,41,33,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),62278,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2
P68368|TBA4A_MOUSE,2.47,381.2,7.30E+03,8.08E+03,1,1.11,15,53,5,Carbamidomethylation; TMT6plex,49924,Tubulin alpha-4A chain OS=Mus musculus GN=Tuba4a PE=1 SV=1
tr|A0A0A0MQA5|A0A0A0MQA5_MOUSE,2.47,381.2,7.30E+03,8.08E+03,1,1.11,14,53,5,Carbamidomethylation; TMT6plex,52912,Tubulin alpha chain (Fragment) OS=Mus musculus GN=Tuba4a PE=1 SV=1
tr|S4R2F3|S4R2F3_MOUSE,1.28,380.66,190.047,198.518,1,1.04,1,87,3,TMT6plex,429112,Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=3
O08599|STXB1_MOUSE,2.59,378.61,1.64E+04,1.56E+04,1,0.95,74,60,54,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),67569,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2
P56480|ATPB_MOUSE,3.16,376.24,1.93E+04,2.02E+04,1,1.05,70,35,33,TMT6plex; Oxidation (M); Deamidation (NQ),56301,ATP synthase subunit beta  mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2
Q6PIE5|AT1A2_MOUSE,0.63,374.5,4.97E+03,4.83E+03,1,0.97,34,66,40,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),112217,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus GN=Atp1a2 PE=1 SV=1
Q8VDN2|AT1A1_MOUSE,3.06,371.77,6.40E+03,5.74E+03,1,0.90,30,55,30,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),112982,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1
Q03265|ATPA_MOUSE,10.29,368.43,1.39E+04,1.64E+04,1,1.18,62,40,37,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),59753,ATP synthase subunit alpha  mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1
O88737|BSN_MOUSE,0.94,368.41,1.31E+03,1.25E+03,1,0.95,18,52,47,Carbamidomethylation; TMT6plex; Deamidation (NQ),418848,Protein bassoon OS=Mus musculus GN=Bsn PE=1 SV=4
P63017|HSP7C_MOUSE,3.13,365.82,1.32E+04,1.23E+04,1,0.93,46,51,31,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),70871,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1
P05064|ALDOA_MOUSE,1.67,364.87,1.35E+03,1.34E+03,1,0.99,23,36,4,TMT6plex; Oxidation (M); Deamidation (NQ),39356,Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2
