,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|E9QM38|E9QM38_MOUSE,Slc12a2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,33,7.3,7.8,13.8,7.9,13.3,11.6,8.7,8.5,8.8,12.3,0.98390,1
sp|Q8CCJ9|P20L1_MOUSE,Phf20l1,PHD finger protein 20-like protein 1 OS=Mus musculus OX=10090 GN=Phf20l1 PE=1 SV=2,1,8.2,9.2,10.3,12.3,6.5,11.7,9.6,13.9,8.7,9.7,0.32788,1
sp|P39688|FYN_MOUSE,Fyn,Tyrosine-protein kinase Fyn OS=Mus musculus OX=10090 GN=Fyn PE=1 SV=4,6,9.5,9.8,8.6,12.6,10.1,9.6,8.7,9.4,9.1,12.5,0.80100,1
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,12,10.7,10.5,11.1,8.9,12.3,9.1,9.0,10.0,9.5,9.1,0.06945,1
sp|P05480|SRC_MOUSE,Src,Neuronal proto-oncogene tyrosine-protein kinase Src OS=Mus musculus OX=10090 GN=Src PE=1 SV=4,8,10.9,10.8,7.3,9.6,11.0,8.4,11.8,9.4,12.7,8.0,0.93153,1
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,1,11.8,7.9,15.2,6.4,7.9,11.2,7.8,12.9,7.8,11.1,0.87834,1
sp|Q04735|CDK16_MOUSE,Cdk16,Cyclin-dependent kinase 16 OS=Mus musculus OX=10090 GN=Cdk16 PE=1 SV=1,8,10.3,10.9,11.5,10.5,9.6,8.9,9.2,10.0,10.4,8.8,0.04122,1
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,11,10.0,10.3,9.3,10.5,10.7,8.8,10.6,9.6,11.3,9.1,0.59789,1
sp|Q69ZA1|CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3,2,10.0,10.2,10.3,10.3,10.7,9.0,9.7,10.1,10.0,9.5,0.03482,1
tr|A0A0G2JGW6|A0A0G2JGW6_MOUSE,Cdkl5,Cyclin-dependent kinase-like 5 OS=Mus musculus OX=10090 GN=Cdkl5 PE=1 SV=1,19,11.2,12.6,5.7,13.3,7.0,8.0,12.1,10.4,12.1,7.5,0.97627,1
tr|J3QN85|J3QN85_MOUSE,Fgfr1,Fibroblast growth factor receptor OS=Mus musculus OX=10090 GN=Fgfr1 PE=1 SV=1,1,9.5,9.4,10.8,11.8,10.8,9.9,8.8,8.9,10.3,9.8,0.14305,1
sp|O35495|CDK14_MOUSE,Cdk14,Cyclin-dependent kinase 14 OS=Mus musculus OX=10090 GN=Cdk14 PE=1 SV=2,6,9.6,9.8,7.6,13.4,10.2,10.2,8.1,8.9,10.4,11.8,0.82334,1
tr|E9QK53|E9QK53_MOUSE,Fgfr2,Fibroblast growth factor receptor OS=Mus musculus OX=10090 GN=Fgfr2 PE=1 SV=1,2,8.2,8.0,12.7,8.7,11.3,10.7,9.6,10.9,9.4,10.5,0.66329,1
sp|Q8K0D0|CDK17_MOUSE,Cdk17,Cyclin-dependent kinase 17 OS=Mus musculus OX=10090 GN=Cdk17 PE=1 SV=2,6,10.3,12.2,7.7,11.0,8.9,8.1,11.6,10.5,11.3,8.3,0.95131,1
sp|Q99J95|CDK9_MOUSE,Cdk9,Cyclin-dependent kinase 9 OS=Mus musculus OX=10090 GN=Cdk9 PE=1 SV=1,1,9.5,9.8,11.1,9.7,9.0,9.3,8.0,12.1,10.4,10.9,0.67450,1
sp|Q04899|CDK18_MOUSE,Cdk18,Cyclin-dependent kinase 18 OS=Mus musculus OX=10090 GN=Cdk18 PE=1 SV=1,2,9.8,10.5,9.1,7.3,11.8,10.3,11.8,10.4,9.6,9.5,0.46826,1
sp|P41242|MATK_MOUSE,Matk,Megakaryocyte-associated tyrosine-protein kinase OS=Mus musculus OX=10090 GN=Matk PE=1 SV=2,4,8.8,10.4,7.8,11.2,10.6,10.1,10.8,10.0,9.9,10.3,0.49575,1
sp|P41241|CSK_MOUSE,Csk,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,8,9.7,9.1,11.8,8.6,13.3,10.3,8.9,9.2,8.7,10.5,0.35648,1
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",5,10.0,10.5,9.7,9.3,10.6,10.4,9.8,10.5,10.3,9.0,0.95442,1
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,9,10.4,11.0,8.7,10.5,9.3,9.2,10.0,10.7,11.3,9.0,0.89751,1
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",6,10.5,9.3,12.1,8.7,10.1,9.7,10.5,10.2,10.3,8.6,0.68708,1
tr|Q80ZM5|Q80ZM5_MOUSE,H1fx,"H1 histone family, member X OS=Mus musculus OX=10090 GN=H1fx PE=1 SV=1",1,9.5,7.9,15.4,7.1,7.4,14.3,8.4,11.4,7.8,10.8,0.58158,1
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,28,9.8,9.3,11.9,9.3,8.3,10.7,9.9,10.9,9.9,10.0,0.40834,1
tr|A2AJ72|A2AJ72_MOUSE,Fubp3,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,3,9.4,9.8,11.1,8.8,10.3,10.9,10.2,10.9,8.7,9.9,0.67865,1
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,16,9.4,9.0,13.8,8.4,8.9,11.4,9.7,9.9,9.5,10.1,0.85332,1
sp|Q91V81|RBM42_MOUSE,Rbm42,RNA-binding protein 42 OS=Mus musculus OX=10090 GN=Rbm42 PE=1 SV=1,4,9.5,9.5,11.3,10.3,8.5,11.1,7.9,11.1,8.5,12.3,0.72794,1
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ddrgk1 PE=1 SV=2,4,9.3,8.9,9.2,9.7,12.2,10.6,10.5,9.1,10.0,10.3,0.71719,1
sp|Q80UM7|MOGS_MOUSE,Mogs,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,6,10.8,10.9,7.8,10.3,10.6,9.2,10.3,9.6,11.0,9.5,0.80876,1
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,9,11.8,7.9,9.4,8.2,11.5,10.1,10.2,9.9,10.3,10.6,0.61499,1
sp|Q6P549|SHIP2_MOUSE,Inppl1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1",2,10.2,9.3,10.7,11.6,10.9,8.6,9.7,10.1,9.6,9.3,0.04277,1
sp|Q91YN5|UAP1_MOUSE,Uap1,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 GN=Uap1 PE=1 SV=1,8,11.0,10.3,9.0,10.8,10.0,9.6,10.1,9.5,10.5,9.2,0.29446,1
tr|A0A1B0GSX6|A0A1B0GSX6_MOUSE,Pdlim3,"PDZ and LIM domain 3, isoform CRA_a OS=Mus musculus OX=10090 GN=Pdlim3 PE=1 SV=1",1,10.0,8.4,10.7,8.1,10.8,11.5,10.9,10.0,8.0,11.5,0.39501,1
