# Output table from Spectronaut filtered for the comparison of Geriatric to Young mouse crypts isolated from ileum only. Related to Figure 3 and S3.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
ger ile / young ile,Q9QXS1,Plec,Plectin,PLEC_MOUSE,340,-0.622228384,0.622228384,-35.03333216,0.649666678,1.21E-58
ger ile / young ile,Q80Z19,Muc2,Mucin-2 (Fragments),MUC2_MOUSE,100,-0.629126251,0.629126251,-35.34321179,0.646567882,7.05E-21
ger ile / young ile,Q8R086,Suox,"Sulfite oxidase, mitochondrial",SUOX_MOUSE,22,-1.46538651,1.46538651,-63.78614942,0.362138506,2.16E-19
ger ile / young ile,Q9D7Z6,Clca1,Calcium-activated chloride channel regulator 1,CLCA1_MOUSE,50,-1.230468154,1.230468154,-57.38208715,0.426179128,2.48E-19
ger ile / young ile,Q8VDN2,Atp1a1,Sodium/potassium-transporting ATPase subunit alpha-1,AT1A1_MOUSE,79,-0.639511824,0.639511824,-35.80698729,0.641930127,6.33E-19
ger ile / young ile,P09103,P4hb,Protein disulfide-isomerase,PDIA1_MOUSE,66,-0.825018466,0.825018466,-43.55250225,0.564474977,5.22E-17
ger ile / young ile,Q07113,Igf2r,Cation-independent mannose-6-phosphate receptor,MPRI_MOUSE,55,-0.698078156,0.698078156,-38.36072302,0.61639277,1.45E-14
ger ile / young ile,O55143,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,AT2A2_MOUSE,61,-0.581519008,0.581519008,-33.17402011,0.668259799,4.65E-14
ger ile / young ile,P17182,Eno1,Alpha-enolase,ENOA_MOUSE,37,0.716345131,0.716345131,64.30144077,1.643014408,1.05E-13
ger ile / young ile,P97449,Anpep,Aminopeptidase N,AMPN_MOUSE,62,-0.59926337,0.59926337,-33.99090929,0.660090907,4.22E-12
ger ile / young ile,Q60604,Scin,Adseverin,ADSV_MOUSE,39,-0.835970938,0.835970938,-43.97941082,0.560205892,4.53E-12
ger ile / young ile,Q9Z0Z4,Heph,Hephaestin,HEPH_MOUSE,36,-0.856896222,0.856896222,-44.78608604,0.55213914,1.09E-11
ger ile / young ile,Q8BG05,Hnrnpa3,Heterogeneous nuclear ribonucleoprotein A3,ROA3_MOUSE,38,-0.725037873,0.725037873,-39.50188372,0.604981163,1.34E-11
ger ile / young ile,P28843,Dpp4,Dipeptidyl peptidase 4,DPP4_MOUSE,35,-1.021602511,1.021602511,-50.74310856,0.492568914,1.40E-11
ger ile / young ile,P16406,Enpep,Glutamyl aminopeptidase,AMPE_MOUSE,63,-0.739515781,0.739515781,-40.10596562,0.598940344,4.32E-10
ger ile / young ile,G5E829,Atp2b1,Plasma membrane calcium-transporting ATPase 1,AT2B1_MOUSE,45,-0.580846846,0.580846846,-33.14287818,0.668571218,4.87E-10
ger ile / young ile,Q9R100,Cdh17,Cadherin-17,CAD17_MOUSE,45,-0.597490907,0.597490907,-33.90976213,0.660902379,1.13E-09
ger ile / young ile,Q00PI9,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,HNRL2_MOUSE,41,-0.599569201,0.599569201,-34.00490082,0.659950992,1.20E-09
ger ile / young ile,P07356,Anxa2,Annexin A2,ANXA2_MOUSE,40,-0.711067736,0.711067736,-38.91321308,0.610867869,2.04E-09
ger ile / young ile,CON__P15636,NaN,NaN,CON__P15636,19,1.336840749,1.336840749,152.597568,2.52597568,2.29E-09
ger ile / young ile,Q8BX90,Fndc3a,Fibronectin type-III domain-containing protein 3A,FND3A_MOUSE,25,-0.918852031,0.918852031,-47.10702718,0.528929728,6.74E-09
ger ile / young ile,Q61207,Psap,Prosaposin,SAP_MOUSE,25,0.695452809,0.695452809,61.93926216,1.619392622,7.27E-09
ger ile / young ile,P26645,Marcks,Myristoylated alanine-rich C-kinase substrate,MARCS_MOUSE,21,1.228708744,1.228708744,134.3571392,2.343571392,9.32E-09
ger ile / young ile,Q9D0F3,Lman1,Protein ERGIC-53,LMAN1_MOUSE,24,-0.607553542,0.607553542,-34.3691302,0.656308698,1.03E-08
ger ile / young ile,P70290,Mpp1,55 kDa erythrocyte membrane protein,EM55_MOUSE,35,-0.779824615,0.779824615,-41.75624053,0.582437595,1.40E-08
ger ile / young ile,P16858,Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,G3P_MOUSE,31,0.602849185,0.602849185,51.87129203,1.51871292,1.79E-08
ger ile / young ile,O08912,Galnt1,Polypeptide N-acetylgalactosaminyltransferase 1,GALT1_MOUSE,20,-0.703472376,0.703472376,-38.59076125,0.614092387,4.22E-08
ger ile / young ile,O09049,Reg3g,Regenerating islet-derived protein 3-gamma,REG3G_MOUSE,7,-1.538851738,1.538851738,-65.58407331,0.344159267,8.54E-08
ger ile / young ile,Q05920,Pc,"Pyruvate carboxylase, mitochondrial",PYC_MOUSE,37,-0.653920054,0.653920054,-36.44489379,0.635551062,1.13E-07
ger ile / young ile,O88312,Agr2,Anterior gradient protein 2 homolog,AGR2_MOUSE,20,-0.701047063,0.701047063,-38.48743943,0.615125606,1.30E-07
ger ile / young ile,Q8BJ64,Chdh,"Choline dehydrogenase, mitochondrial",CHDH_MOUSE,42,-0.599546671,0.599546671,-34.00387017,0.659961298,1.49E-07
ger ile / young ile,Q60854,Serpinb6,Serpin B6,SPB6_MOUSE,28,0.925720274,0.925720274,89.96324085,1.899632408,2.41E-07
ger ile / young ile,Q8R081,Hnrnpl,Heterogeneous nuclear ribonucleoprotein L,HNRPL_MOUSE,43,-0.589419663,0.589419663,-33.53898013,0.664610199,3.31E-07
ger ile / young ile,Q99LB2,Dhrs4,Dehydrogenase/reductase SDR family member 4,DHRS4_MOUSE,24,0.776713908,0.776713908,71.32241366,1.713224137,4.37E-07
ger ile / young ile,Q3ULJ0,Gpd1l,Glycerol-3-phosphate dehydrogenase 1-like protein,GPD1L_MOUSE,20,0.702174425,0.702174425,62.6955087,1.626955087,4.49E-07
ger ile / young ile,Q9Z130,Hnrnpdl,Heterogeneous nuclear ribonucleoprotein D-like,HNRDL_MOUSE,14,-0.701185763,0.701185763,-38.49335293,0.615066471,6.39E-07
ger ile / young ile,Q6Q473,Clca4a,Calcium-activated chloride channel regulator 4A,CLA4A_MOUSE,36,-0.923742712,0.923742712,-47.28602873,0.527139713,6.66E-07
ger ile / young ile,Q8CCJ3,Ufl1,E3 UFM1-protein ligase 1,UFL1_MOUSE,33,-0.662799835,0.662799835,-36.83487375,0.631651262,7.71E-07
ger ile / young ile,Q9ET30,Tm9sf3,Transmembrane 9 superfamily member 3,TM9S3_MOUSE,19,-0.821382284,0.821382284,-43.41005204,0.56589948,9.34E-07
ger ile / young ile,Q99JG3,Anxa13,Annexin A13,ANX13_MOUSE,33,0.583125412,0.583125412,49.80911568,1.498091157,1.09E-06
ger ile / young ile,Q64518,Atp2a3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,AT2A3_MOUSE,33,-0.741991639,0.741991639,-40.20866365,0.597913363,1.15E-06
ger ile / young ile,O88569,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,ROA2_MOUSE,49,-0.63598758,0.63598758,-35.64998365,0.643500164,1.17E-06
ger ile / young ile,P81117,Nucb2,Nucleobindin-2,NUCB2_MOUSE,31,-0.683143973,0.683143973,-37.71934481,0.622806552,1.38E-06
ger ile / young ile,P10126,Eef1a1,Elongation factor 1-alpha 1,EF1A1_MOUSE,21,0.904074371,0.904074371,87.13434608,1.871343461,2.78E-06
ger ile / young ile,Q6DFW4,Nop58,Nucleolar protein 58,NOP58_MOUSE,30,0.581547379,0.581547379,49.64534269,1.496453427,3.13E-06
ger ile / young ile,P09411,Pgk1,Phosphoglycerate kinase 1,PGK1_MOUSE,35,0.648417234,0.648417234,56.74476218,1.567447622,3.26E-06
ger ile / young ile,Q9DB15,Mrpl12,"39S ribosomal protein L12, mitochondrial",RM12_MOUSE,11,1.164191961,1.164191961,124.10766,2.2410766,4.90E-06
ger ile / young ile,P49312,Hnrnpa1,Heterogeneous nuclear ribonucleoprotein A1,ROA1_MOUSE,31,-0.641354442,0.641354442,-35.88892262,0.641110774,6.21E-06
ger ile / young ile,Q8VCT4,Ces1d,Carboxylesterase 1D,CES1D_MOUSE,27,0.942257226,0.942257226,92.15322972,1.921532297,7.05E-06
ger ile / young ile,P10605,Ctsb,Cathepsin B,CATB_MOUSE,15,0.957561493,0.957561493,94.20246231,1.942024623,8.08E-06
ger ile / young ile,P02088,Hbb-b1,Hemoglobin subunit beta-1,HBB1_MOUSE,13,1.706787229,1.706787229,226.4330719,3.264330719,8.97E-06
ger ile / young ile,P31428,Dpep1,Dipeptidase 1,DPEP1_MOUSE,20,-0.685693264,0.685693264,-37.82929965,0.621707004,1.05E-05
ger ile / young ile,P06745,Gpi,Glucose-6-phosphate isomerase,G6PI_MOUSE,25,0.639737487,0.639737487,55.80456311,1.558045631,1.16E-05
ger ile / young ile,P57016,Lad1,Ladinin-1,LAD1_MOUSE,30,0.586185396,0.586185396,50.12720084,1.501272008,1.16E-05
ger ile / young ile,P00329,Adh1,Alcohol dehydrogenase 1,ADH1_MOUSE,24,1.086734056,1.086734056,112.3926816,2.123926816,1.29E-05
ger ile / young ile,Q8C522,Endod1,Endonuclease domain-containing 1 protein,ENDD1_MOUSE,8,-0.990158916,0.990158916,-49.65776809,0.503422319,1.40E-05
ger ile / young ile,Q9CPW4,Arpc5,Actin-related protein 2/3 complex subunit 5,ARPC5_MOUSE,11,1.832208037,1.832208037,256.0816368,3.560816368,1.46E-05
ger ile / young ile,Q8BMP6,Acbd3,Golgi resident protein GCP60,GCP60_MOUSE,16,-0.802265942,0.802265942,-42.65522053,0.573447795,1.72E-05
ger ile / young ile,Q8VC30,Tkfc,Triokinase/FMN cyclase,TKFC_MOUSE,32,0.712134182,0.712134182,63.8225757,1.638225757,1.83E-05
ger ile / young ile,Q3TEA8,Hp1bp3,Heterochromatin protein 1-binding protein 3,HP1B3_MOUSE,29,0.591073394,0.591073394,50.63670977,1.506367098,1.95E-05
ger ile / young ile,Q5SF07,Igf2bp2,Insulin-like growth factor 2 mRNA-binding protein 2,IF2B2_MOUSE,12,-0.616200268,0.616200268,-34.76130938,0.652386906,2.41E-05
ger ile / young ile,Q9CY58,Serbp1,Plasminogen activator inhibitor 1 RNA-binding protein,PAIRB_MOUSE,30,0.803349614,0.803349614,74.51482692,1.745148269,2.44E-05
ger ile / young ile,Q8BH24,Tm9sf4,Transmembrane 9 superfamily member 4,TM9S4_MOUSE,18,-0.619160771,0.619160771,-34.89504611,0.651049539,2.62E-05
ger ile / young ile,P04441,Cd74,H-2 class II histocompatibility antigen gamma chain,HG2A_MOUSE,12,1.107194662,1.107194662,115.4263406,2.154263406,3.02E-05
ger ile / young ile,Q9EPB4,Pycard,Apoptosis-associated speck-like protein containing a CARD,ASC_MOUSE,19,1.156122684,1.156122684,122.8576808,2.228576808,3.08E-05
ger ile / young ile,Q9WTS2,Fut8,"Alpha-(1,6)-fucosyltransferase",FUT8_MOUSE,21,-0.766119659,0.766119659,-41.20031461,0.587996854,3.31E-05
ger ile / young ile,Q80W94,Mogat2,2-acylglycerol O-acyltransferase 2,MOGT2_MOUSE,14,-1.364241958,1.364241958,-61.1561517,0.388438483,3.63E-05
ger ile / young ile,Q8CIW6,Slc26a6,Solute carrier family 26 member 6,S26A6_MOUSE,13,-1.404372096,1.404372096,-62.22174672,0.377782533,4.47E-05
ger ile / young ile,Q6PDN3,Mylk,"Myosin light chain kinase, smooth muscle",MYLK_MOUSE,40,-0.702488661,0.702488661,-38.54887451,0.614511255,4.82E-05
ger ile / young ile,P30681,Hmgb2,High mobility group protein B2,HMGB2_MOUSE,15,0.654770434,0.654770434,57.43654153,1.574365415,5.04E-05
ger ile / young ile,Q9CYZ2,Tpd52l2,Tumor protein D54,TPD54_MOUSE,13,0.869099557,0.869099557,82.65225402,1.82652254,5.04E-05
ger ile / young ile,P70175,Dlg3,Disks large homolog 3,DLG3_MOUSE,11,-0.81174624,0.81174624,-43.03081152,0.569691885,5.09E-05
ger ile / young ile,P70441,Slc9a3r1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,NHRF1_MOUSE,32,-0.653098226,0.653098226,-36.40867941,0.635913206,5.19E-05
ger ile / young ile,P35230,Reg3b,Regenerating islet-derived protein 3-beta,REG3B_MOUSE,8,-1.582004309,1.582004309,-66.5982478,0.334017522,5.20E-05
ger ile / young ile,Q3UKJ7,Smu1,WD40 repeat-containing protein SMU1,SMU1_MOUSE,16,-0.581364453,0.581364453,-33.16686071,0.668331393,5.50E-05
ger ile / young ile,P25444,Rps2,40S ribosomal protein S2,RS2_MOUSE,20,1.012835741,1.012835741,101.7873508,2.017873508,5.89E-05
ger ile / young ile,Q8VC28,Akr1c13,Aldo-keto reductase family 1 member C13,AK1CD_MOUSE,23,0.618984401,0.618984401,53.57936642,1.535793664,8.36E-05
ger ile / young ile,Q9CZX8,Rps19,40S ribosomal protein S19,RS19_MOUSE,17,1.232223988,1.232223988,134.9288656,2.349288656,8.48E-05
