Accession,Description,Entry Name,Gene names,Y1_OG  (Spec count),Y2_OG (Spec count),Y3_OG (Spec count),Y4_OG (Spec count),Y5_OG (Spec count),Y6_OG (Spec count),Y1_HP (Spec count),Y2_HP (Spec count),Y3_HP (Spec count),Y4_HP (Spec count),Y5_HP (Spec count),Y6_HP (Spec count),O1_OG (Spec count),O2_OG (Spec count),O3_OG (Spec count),O4_OG (Spec count),O5_OG (Spec count),O6_OG (Spec count),O1_HP (Spec count),O2_HP (Spec count),O3_HP (Spec count),O4_HP (Spec count),O5_HP (Spec count),O6_HP (Spec count),G_value OG,SAM (D) OG,OG_Fold Change (Old/Young),G_value HP,SAM (D) HP,HP_Fold Change (Old/Young),G-val OG_HP,SAM (D) OG_HP
P01872,Ig mu chain C region OS=Mus musculus GN=Ighm PE=1 SV=2,IGHM_MOUSE,Ighm Igh-6,66,115,73,45,94,42,72,115,120,107,92,68,189,225,894,415,638,254,185,365,883,558,426,241,1877.441028,3.213,6.011,1203.200983,4.027,4.631,3073.933,4.86
Q61646,Haptoglobin OS=Mus musculus GN=Hp PE=1 SV=1,HPT_MOUSE,Hp,21,17,8,35,17,26,34,32,28,63,36,89,427,13,97,98,250,402,375,27,279,269,327,615,1078.290172,2.695,10.379,1179.14152,3.269,6.709,2255.932,4.361
Q19LI2,Alpha-1B-glycoprotein OS=Mus musculus GN=A1bg PE=1 SV=1,A1BG_MOUSE,A1bg,204,144,312,0,0,0,313,272,522,103,5,5,526,822,1074,0,0,0,579,1225,1358,69,13,8,1340.32419,1.506,3.670,916.0096158,1.446,2.666,2235.172,2.185
P07759,Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2,SPA3K_MOUSE,Serpina3k Mcm2 Spi2,418,454,775,842,1142,1050,594,741,960,955,885,979,144,89,42,656,920,645,202,203,142,807,680,722,755.5405039,-1.951,0.533,529.3856018,-2.438,0.539,1282.590,-3.023
P28665,Murinoglobulin-1 OS=Mus musculus GN=Mug1 PE=1 SV=3,MUG1_MOUSE,Mug1 Mug-1,750,921,1116,1114,1985,1375,872,1327,1331,1534,1425,1374,326,331,306,1019,1719,1047,326,485,504,1449,1309,1152,568.7897716,-1.719,0.654,375.8417797,-1.717,0.665,941.415,-2.452
Q61147,Ceruloplasmin OS=Mus musculus GN=Cp PE=1 SV=2,CERU_MOUSE,Cp,512,575,554,328,576,376,583,978,1014,783,607,595,1158,1104,858,378,685,573,1006,1573,1262,748,712,743,608.8066117,2.371,1.628,293.4020217,2.307,1.325,871.222,3.401
P01837,Ig kappa chain C region OS=Mus musculus PE=1 SV=1,IGKC_MOUSE,0,6,8,5,2,4,2,12,24,21,15,13,5,23,14,44,24,40,20,41,62,188,103,72,48,113.278662,4.992,6.111,266.4320857,3.765,5.711,381.116,4.223
Q03734,Serine protease inhibitor A3M OS=Mus musculus GN=Serpina3m PE=1 SV=2,SPA3M_MOUSE,Serpina3m,183,219,325,341,553,477,250,323,362,340,336,320,83,70,40,231,402,307,95,109,82,276,259,253,324.2816621,-2.156,0.540,177.2711788,-3.044,0.556,499.762,-3.082
Q63805,Alpha-1-acid glycoprotein 3 OS=Mus musculus GN=Orm3 PE=2 SV=1,A1AG3_MOUSE,Orm3 Agp-3 Orm-3,0,41,0,0,0,0,28,0,0,0,0,0,292,0,69,0,0,0,0,31,70,0,0,99,311.0397559,1.122,8.805,96.71806108,1.457,7.143,407.389,1.507
A6X935,"Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus GN=Itih4 PE=1 SV=2",ITIH4_MOUSE,Itih4,194,221,229,100,176,138,342,474,517,341,259,300,339,421,296,131,288,318,438,694,704,369,390,541,250.4510398,2.841,1.695,190.7088679,3.447,1.404,431.152,3.718
Q00898,Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1,A1AT5_MOUSE,Serpina1e Dom5 Spi1-5,193,181,231,465,902,672,150,208,353,282,281,330,113,150,153,286,472,267,90,182,230,275,232,217,374.1822393,-1.684,0.545,34.39593625,-1.417,0.764,364.246,-1.743
P29621,Serine protease inhibitor A3C OS=Mus musculus GN=Serpina3c PE=2 SV=1,SPA3C_MOUSE,Serpina3c Klkbp,55,110,153,87,210,107,0,188,0,0,0,0,0,0,0,82,154,83,0,0,0,0,0,0,167.9639114,-2.381,0.442,125.1799627,-0.995,0.000,254.049,-1.828
P01592,Immunoglobulin J chain OS=Mus musculus GN=Igj PE=2 SV=4,IGJ_MOUSE,Jchain Igj,7,6,6,8,7,5,6,11,6,9,10,7,14,18,54,22,26,14,18,40,97,53,33,22,74.53410202,2.774,3.795,123.9925335,3.497,5.367,198.541,4.573
P28666,Murinoglobulin-2 OS=Mus musculus GN=Mug2 PE=2 SV=2,MUG2_MOUSE,Mug2 Mug-2,227,299,374,281,635,333,359,525,530,581,593,559,107,110,126,287,542,339,140,194,207,577,561,458,109.9532809,-1.493,0.703,135.367687,-1.600,0.679,245.562,-2.253
P07361,Alpha-1-acid glycoprotein 2 OS=Mus musculus GN=Orm2 PE=1 SV=1,A1AG2_MOUSE,Orm2 Agp-2 Orm-2,50,80,133,82,71,44,63,88,119,46,28,38,399,60,118,57,92,81,190,74,167,49,36,156,125.9376496,1.095,1.754,115.4638563,1.668,1.759,240.284,1.755
Q00896,Alpha-1-antitrypsin 1-3 OS=Mus musculus GN=Serpina1c PE=1 SV=2,A1AT3_MOUSE,Serpina1c Dom3 Dom6 Spi1-3 Spi1-6,224,234,319,498,909,653,0,336,473,293,289,311,177,281,211,309,565,319,0,0,354,312,304,275,204.9621066,-1.504,0.656,39.14993148,-0.690,0.731,235.985,-1.345
Q06770,Corticosteroid-binding globulin OS=Mus musculus GN=Serpina6 PE=1 SV=1,CBG_MOUSE,Serpina6 Cbg,76,67,58,36,61,44,49,84,84,32,19,17,167,197,107,30,57,42,71,245,193,25,23,22,96.23664663,1.478,1.754,96.71915085,1.395,2.032,191.386,2.04
P06330,Ig heavy chain V region AC38 205.12 OS=Mus musculus PE=1 SV=1,HVM51_MOUSE,0,5,10,5,9,13,7,4,0,5,6,0,0,8,26,45,35,43,22,6,18,55,24,22,16,88.8397411,3.677,3.653,83.2796427,3.400,9.400,169.618,4.492
P03977,Ig kappa chain V-III region 50S10.1 OS=Mus musculus PE=1 SV=1,KV3A4_MOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,25,17,13,3,8,10,16,13,6,3,96.57170952,4.249,#DIV/0!,43.33311866,5.071,#DIV/0!,141.607,5.163
P13020,Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3,GELS_MOUSE,Gsn Gsb,275,395,393,181,348,221,588,933,846,768,626,600,200,375,240,189,297,186,310,610,616,559,507,445,20.41660118,-0.959,0.820,150.3415013,-7.662,0.699,155.791,-1.932
Q8K0E8,Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1,FIBB_MOUSE,Fgb,546,965,1257,747,1041,839,804,1654,1684,1350,1080,1118,818,780,1162,861,1394,1308,887,1565,1724,1330,1304,1455,128.3901565,1.875,1.172,64.98127117,2.389,1.075,187.743,2.915
P68033,"Actin, alpha cardiac muscle 1 OS=Mus musculus GN=Acta1 PE=1 SV=1",ACTC_MOUSE,Actc1 Actc,0,0,0,0,0,0,0,0,0,0,0,0,49,46,0,0,27,0,0,0,0,0,0,0,133.5275857,1.983,#DIV/0!,0.166666667,0.000,#DIV/0!,128.298,1.759
Q9QWK4,CD5 antigen-like OS=Mus musculus GN=Cd5l PE=1 SV=3,CD5L_MOUSE,Cd5l Aim Api6,22,22,20,11,24,14,10,18,12,13,19,12,45,17,32,30,47,36,53,54,60,58,48,38,33.76963412,3.862,1.832,124.3678726,7.604,3.702,144.065,7.401
P05367,Serum amyloid A-2 protein OS=Mus musculus GN=Saa2 PE=1 SV=1,SAA2_MOUSE,Saa2,5,8,11,5,3,0,2,6,11,0,3,10,43,15,9,9,9,42,42,14,11,7,13,68,67.32225465,2.303,3.969,84.62349795,2.009,4.844,152.497,3.16
