Supplemental Table 1 - List and annotation of quantified proteins,,,,,,,,,,,,,,,,,
Gene names,Majority protein IDs,Protein names,t-test Difference_14vs96 (=log2 foldchange LFQ[14w/96w]),-Log t-test p value_14vs96,Significance,LFQ intensity 141031_1_0138-141022FaBrS01TQ,LFQ intensity 141031_1_0138-141022FaBrS02TQ,LFQ intensity 141031_1_0138-141022FaBrS03TQ,LFQ intensity 141031_1_0138-141022FaBrS04TQ,LFQ intensity 141031_1_0138-141022FaBrS05TQ,LFQ intensity 141031_1_0138-141022FaBrS06TQ,LFQ intensity 141031_1_0138-141022FaBrS07TQ,LFQ intensity 141031_1_0138-141022FaBrS08TQ,LFQ intensity 141031_1_0138-141022FaBrS09TQ,LFQ intensity 141031_1_0138-141022FaBrS10TQ,LFQ intensity 141031_1_0138-141022FaBrS11TQ,LFQ intensity 141031_1_0138-141022FaBrS12TQ
Actn1,A1BN54;Q7TPR4,Alpha-actinin-1,-0.872269,0.934653,nonsig,24.0899,25.4689,26.0368,25.5794,25.7626,24.2033,25.5553,25.7627,26.7874,25.8153,25.5857,26.5846
Rpl19,A2A547;P84099,60S ribosomal protein L19,0.298384,0.177886,nonsig,26.0165,25.4333,25.9791,25.5203,24.1746,25.9028,25.6504,25.7338,25.1969,25.7984,23.5699,25.7029
Mapt,B1AQW2;P10637;A2A5Y6,Microtubule-associated protein tau,0.0342231,0.0443474,nonsig,26.8317,27.184,27.3209,26.9459,26.6748,27.1399,27.2301,26.4641,26.8474,26.9558,26.3134,27.2553
Lsp1,A2A6J7;P19973;A2A6J4,Lymphocyte-specific protein 1,-0.224543,0.279264,nonsig,23.9127,23.9516,24.1138,24.2397,24.0019,24.023,23.4139,23.4453,24.1666,24.3757,23.0968,24.1433
Sept9,A2A6U3;Q80UG5;A2A6U5,Septin-9,-0.25246,0.814327,nonsig,24.7913,24.7825,24.7358,25.2214,25.0684,24.6538,24.8807,24.5606,24.8187,24.9193,25.1796,25.2557
H6pd,Q8CFX1;A2A7A7,GDH/6PGL endoplasmic bifunctional protein;Glucose 1-dehydrogenase;6-phosphogluconolactonase,-0.620777,0.362193,nonsig,23.9833,23.7734,25.3839,24.0682,24.0708,24.0949,25.7028,22.9635,25.5836,23.4201,25.0921,25.2193
Epb4.1;Epb41,A2A839;A2A838;P48193;A2A841;A2A842;A2AD32;F7BUB8;F6S4K9,Protein 4.1,-0.0691891,0.109183,nonsig,25.7978,26.5029,26.0975,25.9867,26.5861,26.1314,26.5248,25.7042,26.5666,26.0678,26.4249,26.1638
Nt5c,A2A9X5;Q9JM14,"5(3)-deoxyribonucleotidase, cytosolic type",-0.0898285,0.0324518,nonsig,25.1327,25.4498,24.8856,25.0315,25.6597,25.42,24.9848,26.7779,25.3188,27.617,26.671,23.595
Rpn2,A2ACG7;Q9DBG6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,-0.493268,0.235833,nonsig,26.4572,26.7242,27.6974,26.9686,27.3052,24.5794,27.7625,28.3582,27.2482,27.6139,27.8054,27.3109
Rpl32;Gm4987;Gm10064,P62911;A2AD25;F6WJV0,60S ribosomal protein L32,0.117954,0.151836,nonsig,26.8353,26.6411,27.2001,26.7651,26.0631,26.7262,25.3618,25.7495,25.6795,26.0038,25.8192,25.9263
Ddi2,A2ADY9,Protein DDI1 homolog 2,0.0291066,0.0604474,nonsig,27.8799,27.7966,27.4409,27.4817,27.4984,27.7005,27.4134,27.6894,27.8466,27.5064,27.1311,27.7011
