Protein Group,Protein ID,Accession,Significance -10logP,Coverage (%),#Peptides,#Unique,PTM,Young 1 Area,Young 2 Area,Young 3 Area,Young 4 Area,Young 5 Area,Young 6 Area,Old 1 Area,Old 2 Area,Old 3 Area,Old 4 Area,Old 5 Area,Old 6 Area,Sample Profile (Ratio),Young Area,Old Area,Group Profile (Ratio),Avg. Mass,FoldChange (FC),Log2(FC),Description
262,464,P09528|FRIH_MOUSE,59.14,49,9,9,N-ethylmaleimide on cysteines,4.75E+06,4.05E+06,5.41E+06,4.87E+06,4.95E+06,4.66E+06,1.02E+07,9.39E+06,8.84E+06,8.48E+06,8.13E+06,9.25E+06,1.00:0.85:1.14:1.03:1.04:0.98:2.14:1.98:1.86:1.79:1.71:1.95,4.78E+06,9.04E+06,1.00:1.89,1.89,0.92,21067,Ferritin heavy chain OS=Mus musculus GN=Fth1 PE=1 SV=2
231,281,P18242|CATD_MOUSE,55.59,38,12,12,D5 N-ethylmaleimide on cysteines,5.06E+06,3.61E+06,4.59E+06,3.93E+06,4.79E+06,4.11E+06,9.15E+06,1.04E+07,9.11E+06,1.18E+07,1.06E+07,1.11E+07,1.00:0.71:0.91:0.78:0.95:0.81:1.81:2.05:1.80:2.33:2.09:2.19,4.31E+06,1.03E+07,1.00:2.40,2.39,1.26,44954,Cathepsin D OS=Mus musculus GN=Ctsd PE=1 SV=1
445,766,P01837|IGKC_MOUSE,53.88,49,5,5,Oxidation (M); D5 N-ethylmaleimide on cysteines,5.08E+06,1.94E+06,1.92E+06,3.10E+06,3.00E+06,2.21E+06,1.05E+07,1.22E+07,9.88E+06,1.29E+07,1.50E+07,1.31E+07,1.00:0.38:0.38:0.61:0.59:0.43:2.08:2.39:1.94:2.53:2.96:2.58,2.87E+06,1.23E+07,1.00:4.27,4.29,2.10,11778,Ig kappa chain C region OS=Mus musculus PE=1 SV=1
1041,770,Q8BH97|RCN3_MOUSE,52.95,12,3,3,,3.94E+04,4.30E+04,1.17E+05,3.95E+04,6.21E+04,5.47E+04,1.96E+05,2.17E+05,1.87E+05,2.47E+05,1.68E+05,2.18E+05,1.00:1.09:2.96:1.00:1.58:1.39:4.98:5.52:4.74:6.28:4.26:5.54,5.92E+04,2.06E+05,1.00:3.47,3.48,1.80,38002,Reticulocalbin-3 OS=Mus musculus GN=Rcn3 PE=2 SV=1
1138,618,O88746|TOM1_MOUSE,43.83,14,4,4,,1.02E+05,2.18E+05,2.74E+05,1.72E+05,1.32E+05,1.60E+05,4.28E+05,4.21E+05,4.36E+05,3.67E+05,4.40E+05,3.34E+05,1.00:2.13:2.67:1.68:1.29:1.56:4.18:4.11:4.26:3.58:4.30:3.26,1.76E+05,4.04E+05,1.00:2.29,2.30,1.20,54325,Target of Myb protein 1 OS=Mus musculus GN=Tom1 PE=1 SV=1
268,136,P24270|CATA_MOUSE,43.73,35,14,14,N-ethylmaleimide on cysteines,1.64E+06,2.28E+06,2.25E+06,1.87E+06,1.97E+06,1.85E+06,3.41E+06,3.36E+06,3.52E+06,2.69E+06,3.48E+06,2.93E+06,1.00:1.39:1.38:1.14:1.20:1.13:2.08:2.05:2.15:1.64:2.12:1.79,1.96E+06,3.23E+06,1.00:1.65,1.65,0.72,59765,Catalase OS=Mus musculus GN=Cat PE=1 SV=3
217,271,Q04447|KCRB_MOUSE,43.1,45,13,8,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,1.72E+06,1.76E+06,1.89E+06,1.49E+06,1.69E+06,1.95E+06,2.96E+06,3.06E+06,2.82E+06,2.93E+06,3.12E+06,3.79E+06,1.00:1.02:1.10:0.87:0.98:1.14:1.73:1.78:1.64:1.71:1.82:2.21,1.77E+06,3.12E+06,1.00:1.76,1.76,0.82,42713,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1
367,364,P29391|FRIL1_MOUSE,42.02,57,8,8,,2.43E+06,1.20E+06,1.09E+06,3.20E+05,3.92E+05,1.98E+06,8.87E+06,6.62E+06,7.83E+06,4.79E+06,5.65E+06,8.18E+06,1.00:0.49:0.45:0.13:0.16:0.81:3.65:2.72:3.22:1.97:2.32:3.36,1.24E+06,6.99E+06,1.00:5.66,5.64,2.49,20802,Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2
682,796,Q8BVI4|DHPR_MOUSE,40.3,20,4,4,N-ethylmaleimide on cysteines,1.20E+06,9.46E+05,1.08E+06,1.01E+06,9.36E+05,1.01E+06,5.58E+05,7.00E+05,3.84E+05,7.06E+05,5.72E+05,7.04E+05,1.00:0.79:0.90:0.85:0.78:0.84:0.47:0.58:0.32:0.59:0.48:0.59,1.03E+06,6.04E+05,1.00:0.59,0.59,-0.77,25570,Dihydropteridine reductase OS=Mus musculus GN=Qdpr PE=1 SV=2
578,2716,P56565|S10A1_MOUSE,39.82,30,2,2,,5.19E+06,6.87E+06,8.56E+06,6.39E+06,7.93E+06,7.31E+06,1.03E+07,1.06E+07,9.86E+06,1.20E+07,1.23E+07,1.08E+07,1.00:1.32:1.65:1.23:1.53:1.41:1.99:2.05:1.90:2.31:2.38:2.08,7.04E+06,1.10E+07,1.00:1.56,1.56,0.64,10505,Protein S100-A1 OS=Mus musculus GN=S100a1 PE=1 SV=2
103,131,P15626|GSTM2_MOUSE,39.21,84,23,12,Oxidation (M); N-ethylmaleimide on cysteines,1.06E+07,9.30E+06,7.73E+06,8.96E+06,1.05E+07,1.04E+07,1.22E+07,1.45E+07,1.27E+07,1.55E+07,1.55E+07,1.48E+07,1.00:0.88:0.73:0.85:1.00:0.99:1.16:1.37:1.20:1.47:1.47:1.41,9.69E+06,1.42E+07,1.00:1.46,1.47,0.55,25717,Glutathione S-transferase Mu 2 OS=Mus musculus GN=Gstm2 PE=1 SV=2
539,917,P14069|S10A6_MOUSE,39.14,25,3,3,,7.93E+06,5.45E+06,4.73E+06,3.87E+06,5.48E+06,6.69E+06,1.25E+07,1.13E+07,1.47E+07,1.15E+07,9.24E+06,1.06E+07,1.00:0.69:0.60:0.49:0.69:0.84:1.58:1.43:1.85:1.45:1.17:1.34,5.69E+06,1.16E+07,1.00:2.05,2.04,1.03,10051,Protein S100-A6 OS=Mus musculus GN=S100a6 PE=1 SV=3
524,367,Q8BGQ7|SYAC_MOUSE,37.99,8,7,7,Oxidation (M); N-ethylmaleimide on cysteines,3.49E+05,5.58E+05,6.24E+05,4.89E+05,7.63E+05,6.79E+05,8.63E+05,1.05E+06,1.26E+06,1.26E+06,1.05E+06,1.03E+06,1.00:1.60:1.79:1.40:2.19:1.95:2.48:3.01:3.63:3.61:3.02:2.94,5.77E+05,1.09E+06,1.00:1.88,1.89,0.92,106908,Alanyl-tRNA synthetase  cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1
127,33,P29758|OAT_MOUSE,37.89,62,23,22,N-ethylmaleimide on cysteines,4.58E+06,3.88E+06,4.28E+06,3.96E+06,3.88E+06,4.17E+06,5.63E+06,5.46E+06,5.12E+06,5.47E+06,5.20E+06,4.61E+06,1.00:0.85:0.93:0.86:0.85:0.91:1.23:1.19:1.12:1.20:1.14:1.01,4.12E+06,5.25E+06,1.00:1.27,1.27,0.35,48355,Ornithine aminotransferase  mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1
1373,4361,O89023|TPP1_MOUSE,37.08,2,1,1,,2.46E+05,3.65E+05,3.35E+05,2.90E+05,2.34E+05,3.34E+05,6.66E+05,9.93E+05,7.76E+05,6.96E+05,8.92E+05,1.06E+06,1.00:1.48:1.36:1.18:0.95:1.36:2.71:4.04:3.16:2.83:3.63:4.29,3.01E+05,8.46E+05,1.00:2.81,2.81,1.49,61342,Tripeptidyl-peptidase 1 OS=Mus musculus GN=Tpp1 PE=1 SV=2
130,300,P07759|SPA3K_MOUSE,36.74,39,16,6,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,3.58E+07,2.32E+07,2.61E+07,2.46E+07,2.95E+07,2.79E+07,1.36E+07,1.45E+07,9.44E+06,1.41E+07,1.80E+07,1.69E+07,1.00:0.65:0.73:0.69:0.82:0.78:0.38:0.41:0.26:0.39:0.50:0.47,2.78E+07,1.44E+07,1.00:0.52,0.52,-0.95,46880,Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2
559,554,P46412|GPX3_MOUSE,36.56,21,5,5,,2.02E+06,1.72E+06,1.94E+06,1.56E+06,1.43E+06,2.17E+06,2.58E+06,2.72E+06,2.67E+06,2.67E+06,3.12E+06,2.35E+06,1.00:0.85:0.96:0.77:0.71:1.07:1.28:1.35:1.32:1.32:1.54:1.16,1.82E+06,2.69E+06,1.00:1.48,1.48,0.56,25424,Glutathione peroxidase 3 OS=Mus musculus GN=Gpx3 PE=2 SV=2
257,298,Q64669|NQO1_MOUSE,36.24,40,12,12,,1.60E+06,1.45E+06,1.54E+06,1.44E+06,1.47E+06,1.44E+06,3.17E+06,3.00E+06,2.61E+06,3.04E+06,3.97E+06,3.05E+06,1.00:0.90:0.96:0.90:0.91:0.90:1.98:1.87:1.62:1.89:2.47:1.90,1.49E+06,3.14E+06,1.00:2.11,2.11,1.08,30960,NAD(P)H dehydrogenase [quinone] 1 OS=Mus musculus GN=Nqo1 PE=1 SV=3
596,480,P01867|IGG2B_MOUSE,35.38,18,6,6,D5 N-ethylmaleimide on cysteines,9.12E+04,1.27E+05,2.71E+04,0,1.20E+06,2.19E+05,6.07E+06,4.96E+06,6.56E+06,5.14E+06,2.36E+06,6.32E+06,1.00:1.39:0.30:0:13.21:2.40:66.57:54.43:71.97:56.32:25.90:69.34,2.78E+05,5.24E+06,1.00:18.83,18.85,4.24,44259,Ig gamma-2B chain C region OS=Mus musculus GN=Igh-3 PE=1 SV=3
1204,4405,Q9QXC1|FETUB_MOUSE,35,2,1,1,,9.55E+05,5.53E+05,-,7.44E+05,8.21E+05,7.20E+05,1.54E+06,1.41E+06,1.61E+06,1.60E+06,1.22E+06,1.06E+06,1.00:0.58:-:0.78:0.86:0.75:1.62:1.48:1.69:1.67:1.28:1.11,7.59E+05,1.41E+06,1.00:1.85,1.86,0.89,42713,Fetuin-B OS=Mus musculus GN=Fetub PE=1 SV=1
270,206,O08677|KNG1_MOUSE,34.79,26,14,14,D5 N-ethylmaleimide on cysteines,2.64E+06,1.57E+06,2.05E+06,1.88E+06,2.02E+06,2.01E+06,6.20E+06,5.30E+06,6.95E+06,5.17E+06,4.46E+06,4.08E+06,1.00:0.59:0.78:0.71:0.77:0.76:2.35:2.01:2.63:1.96:1.69:1.55,2.03E+06,5.36E+06,1.00:2.64,2.64,1.40,73102,Kininogen-1 OS=Mus musculus GN=Kng1 PE=1 SV=1
