,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|E9QM38|E9QM38_MOUSE,Slc12a2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,16,11.2,9.8,10.9,11.6,9.3,9.8,8.9,10.1,8.7,9.7,0.05669,0.60629
sp|P39688|FYN_MOUSE,Fyn,Tyrosine-protein kinase Fyn OS=Mus musculus OX=10090 GN=Fyn PE=1 SV=4,3,8.9,10.1,9.4,9.5,9.3,9.3,13.7,9.4,10.4,10.1,0.23616,0.71567
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,11,9.4,11.3,9.3,10.6,10.7,8.4,11.0,9.4,10.1,9.9,0.44398,0.80979
sp|P05480|SRC_MOUSE,Src,Neuronal proto-oncogene tyrosine-protein kinase Src OS=Mus musculus OX=10090 GN=Src PE=1 SV=4,5,8.8,10.4,8.5,9.7,10.9,8.9,12.6,9.0,10.7,10.5,0.44147,0.80891
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,8,9.2,12.2,10.0,11.1,10.8,8.4,10.2,8.5,9.5,10.0,0.07003,0.61833
sp|Q64261|CDK6_MOUSE,Cdk6,Cyclin-dependent kinase 6 OS=Mus musculus OX=10090 GN=Cdk6 PE=1 SV=2,7,9.8,11.7,9.3,10.8,10.4,9.3,10.3,8.9,10.1,9.4,0.14070,0.66626
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,5,10.5,10.5,9.6,9.9,9.9,10.0,9.9,10.2,9.7,9.8,0.41622,0.79964
sp|P97377|CDK2_MOUSE,Cdk2,Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2,1,11.9,10.0,8.0,9.4,9.8,14.5,9.5,9.9,9.2,7.9,0.76140,0.87953
sp|Q69ZA1|CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3,3,10.2,12.3,8.6,10.3,9.0,9.9,9.9,10.5,9.2,10.0,0.78302,0.88247
tr|A0A0G2JGW6|A0A0G2JGW6_MOUSE,Cdkl5,Cyclin-dependent kinase-like 5 OS=Mus musculus OX=10090 GN=Cdkl5 PE=1 SV=1,3,9.0,11.6,8.9,10.5,9.6,9.5,9.6,11.5,8.5,11.1,0.86922,0.89287
sp|P08103|HCK_MOUSE,Hck,Tyrosine-protein kinase HCK OS=Mus musculus OX=10090 GN=Hck PE=1 SV=4,7,9.3,12.0,8.5,9.2,11.0,10.0,9.6,9.1,10.6,10.7,0.99559,0.90518
sp|Q8BZ03|KPCD2_MOUSE,Prkd2,Serine/threonine-protein kinase D2 OS=Mus musculus OX=10090 GN=Prkd2 PE=1 SV=1,1,10.8,10.9,9.4,9.6,9.3,8.5,11.0,8.7,11.4,10.4,0.98215,0.90401
sp|Q62101|KPCD1_MOUSE,Prkd1,Serine/threonine-protein kinase D1 OS=Mus musculus OX=10090 GN=Prkd1 PE=1 SV=2,3,10.0,12.0,9.6,10.2,9.5,8.6,10.0,9.7,10.8,9.7,0.39774,0.79227
tr|Q5FWX6|Q5FWX6_MOUSE,Prkd3,Serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Prkd3 PE=1 SV=1,1,8.1,11.1,10.3,9.8,8.9,10.0,10.8,8.5,11.6,10.9,0.35261,0.77344
tr|F8VQL0|F8VQL0_MOUSE,Met,Hepatocyte growth factor receptor OS=Mus musculus OX=10090 GN=Met PE=1 SV=1,1,8.8,10.9,8.1,9.8,10.5,8.8,12.4,9.5,9.8,11.4,0.38439,0.78691
sp|P30285|CDK4_MOUSE,Cdk4,Cyclin-dependent kinase 4 OS=Mus musculus OX=10090 GN=Cdk4 PE=1 SV=1,1,10.2,10.1,8.7,10.3,8.8,10.2,12.1,11.3,9.2,9.0,0.33299,0.76414
sp|O35495|CDK14_MOUSE,Cdk14,Cyclin-dependent kinase 14 OS=Mus musculus OX=10090 GN=Cdk14 PE=1 SV=2,1,11.1,11.4,8.8,9.6,13.0,7.5,7.8,9.9,10.5,10.4,0.15107,0.67120
tr|E9QK53|E9QK53_MOUSE,Fgfr2,Fibroblast growth factor receptor OS=Mus musculus OX=10090 GN=Fgfr2 PE=1 SV=1,3,8.7,11.2,10.0,10.1,10.7,9.5,9.9,8.2,11.1,10.5,0.68786,0.86835
sp|Q8K0D0|CDK17_MOUSE,Cdk17,Cyclin-dependent kinase 17 OS=Mus musculus OX=10090 GN=Cdk17 PE=1 SV=2,3,9.3,11.6,8.8,10.4,9.8,9.9,10.8,9.3,10.0,10.1,0.92549,0.89873
sp|Q99J95|CDK9_MOUSE,Cdk9,Cyclin-dependent kinase 9 OS=Mus musculus OX=10090 GN=Cdk9 PE=1 SV=1,4,9.4,10.7,11.0,10.3,9.2,9.2,10.6,7.9,11.3,10.3,0.72860,0.87479
sp|Q04899|CDK18_MOUSE,Cdk18,Cyclin-dependent kinase 18 OS=Mus musculus OX=10090 GN=Cdk18 PE=1 SV=1,1,7.0,9.8,11.6,9.7,6.8,11.9,13.7,8.3,10.2,11.0,0.14452,0.66816
sp|P41242|MATK_MOUSE,Matk,Megakaryocyte-associated tyrosine-protein kinase OS=Mus musculus OX=10090 GN=Matk PE=1 SV=2,2,8.3,10.9,9.0,10.8,11.9,9.0,9.5,6.9,10.5,13.4,0.79116,0.88354
sp|P41241|CSK_MOUSE,Csk,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,13,8.5,11.5,9.3,10.2,9.5,9.0,10.7,9.1,10.9,11.3,0.57355,0.84615
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",2,12.2,8.8,9.6,9.2,10.4,9.0,8.9,12.3,9.5,10.1,0.89330,0.89546
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,10,10.9,10.8,9.4,10.2,10.3,10.1,9.3,9.8,9.5,9.8,0.07940,0.62861
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",6,9.8,9.1,10.9,10.8,10.2,10.1,9.3,9.4,10.2,10.1,0.42787,0.80403
tr|D3Z0R6|D3Z0R6_MOUSE,Slc11a2,Natural resistance-associated macrophage protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Slc11a2 PE=1 SV=1,1,10.8,6.4,12.8,8.9,10.0,11.6,8.1,11.7,8.2,11.4,0.75897,0.87919
tr|Q80ZM5|Q80ZM5_MOUSE,H1fx,"H1 histone family, member X OS=Mus musculus OX=10090 GN=H1fx PE=1 SV=1",1,9.3,8.8,11.3,11.2,8.3,10.5,9.0,11.9,9.9,9.9,0.56821,0.84492
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,22,9.8,11.1,11.1,9.9,9.5,8.9,9.9,9.0,11.0,9.9,0.31593,0.75615
tr|A2AJ72|A2AJ72_MOUSE,Fubp3,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,10,9.7,11.6,9.7,10.8,10.0,9.5,9.4,9.3,10.3,9.9,0.14853,0.67005
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,6,10.0,11.1,10.1,10.6,9.6,8.3,10.1,9.3,11.1,9.8,0.32250,0.75929
sp|Q91V81|RBM42_MOUSE,Rbm42,RNA-binding protein 42 OS=Mus musculus OX=10090 GN=Rbm42 PE=1 SV=1,5,8.3,11.4,9.6,10.1,10.5,9.7,9.5,9.7,10.8,10.4,0.95644,0.90168
sp|Q99KD5|UN45A_MOUSE,Unc45a,Protein unc-45 homolog A OS=Mus musculus OX=10090 GN=Unc45a PE=1 SV=2,15,10.9,10.8,9.8,10.2,9.9,8.9,9.7,9.4,10.4,10.0,0.11689,0.65470
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ddrgk1 PE=1 SV=2,1,12.0,10.7,9.0,9.5,10.8,9.2,9.5,10.6,9.2,9.5,0.21864,0.70371
sp|Q80UM7|MOGS_MOUSE,Mogs,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,9,10.9,10.6,9.1,10.3,10.1,9.3,10.1,9.3,10.1,10.2,0.33111,0.76329
sp|Q3TW96|UAP1L_MOUSE,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 GN=Uap1l1 PE=1 SV=1,14,10.0,10.8,8.7,9.3,10.7,9.9,11.1,10.2,9.7,9.7,0.62970,0.85792
