,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
tr|E9QM38|E9QM38_MOUSE,Slc12a2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,10,12.1,10.6,12.1,9.5,9.8,8.7,9.3,8.7,10.1,9.3,0.04220,0.23112
sp|P55014|S12A1_MOUSE,Slc12a1,Solute carrier family 12 member 1 OS=Mus musculus OX=10090 GN=Slc12a1 PE=1 SV=2,30,9.9,9.5,10.0,9.1,8.9,10.2,10.5,11.7,9.8,10.3,0.03527,0.21382
sp|Q14AX6|CDK12_MOUSE,Cdk12,Cyclin-dependent kinase 12 OS=Mus musculus OX=10090 GN=Cdk12 PE=1 SV=2,1,11.5,9.4,11.0,11.0,8.3,8.7,7.9,8.7,12.5,11.0,0.66753,0.62640
sp|P39688|FYN_MOUSE,Fyn,Tyrosine-protein kinase Fyn OS=Mus musculus OX=10090 GN=Fyn PE=1 SV=4,1,11.5,9.1,10.9,8.7,9.7,9.6,9.1,9.2,10.5,11.8,0.92995,0.70022
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,13,9.3,9.6,8.4,9.0,10.6,11.6,11.6,11.6,8.9,9.3,0.14003,0.36404
sp|P05480|SRC_MOUSE,Src,Neuronal proto-oncogene tyrosine-protein kinase Src OS=Mus musculus OX=10090 GN=Src PE=1 SV=4,3,9.4,12.0,9.4,9.6,10.3,10.3,10.4,10.3,7.1,11.0,0.71860,0.64349
sp|P25911|LYN_MOUSE,Lyn,Tyrosine-protein kinase Lyn OS=Mus musculus OX=10090 GN=Lyn PE=1 SV=4,4,10.4,10.1,9.9,10.1,9.5,9.3,9.7,9.9,10.2,10.8,0.97576,0.71022
sp|Q64261|CDK6_MOUSE,Cdk6,Cyclin-dependent kinase 6 OS=Mus musculus OX=10090 GN=Cdk6 PE=1 SV=2,1,13.6,10.3,10.5,9.8,9.9,6.8,9.2,8.3,11.1,10.5,0.15825,0.37966
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,2,9.6,10.8,9.5,8.9,10.7,10.4,11.5,9.9,8.1,10.6,0.78556,0.66365
sp|P97377|CDK2_MOUSE,Cdk2,Cyclin-dependent kinase 2 OS=Mus musculus OX=10090 GN=Cdk2 PE=1 SV=2,1,12.3,9.9,10.8,9.8,9.4,8.8,9.4,6.8,11.1,11.7,0.41310,0.52862
