Accession,Significance (-10lgP),Coverage (%),#Peptides,#Unique,PTM,Adult_1 Area,Adult_2 Area,Adult_3 Area,Adult_4 Area,Old_1 Area,Old_2 Area,Old_3 Area,Old_4 Area,Sample Profile (Ratio),Adult Area,Old Area,Group Profile (Ratio),Avg. Mass,Description
P18419|SVS4_MOUSE,99.91,66,5,5,Oxidation (M); NEM_LysineArginine,1.67E+06,0,0,1.31E+05,8.05E+05,1.40E+07,9.29E+05,1.62E+07,12.72:0:0:1.00:6.13:107.00:7.08:123.22,4.50E+05,7.99E+06,1.00:17.74,12515,Seminal vesicle secretory protein 4 OS=Mus musculus GN=Svs4 PE=1 SV=2
P51910|APOD_MOUSE,88.76,35,8,8,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,6.98E+05,5.93E+05,6.43E+05,6.82E+05,7.79E+06,5.40E+06,1.42E+07,5.45E+06,1.02:0.87:0.94:1.00:11.42:7.92:20.85:7.99,6.54E+05,8.22E+06,1.00:12.57,21530,Apolipoprotein D OS=Mus musculus GN=Apod PE=2 SV=1
Q8VCM7|FIBG_MOUSE,86.67,29,12,12,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,5.55E+05,7.51E+05,5.22E+05,6.31E+05,1.24E+06,2.11E+06,6.82E+06,1.36E+06,0.88:1.19:0.83:1.00:1.97:3.34:10.82:2.15,6.15E+05,2.88E+06,1.00:4.69,49391,Fibrinogen gamma chain OS=Mus musculus GN=Fgg PE=2 SV=1
P01837|IGKC_MOUSE,85.51,92,10,10,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.67E+06,5.09E+05,1.74E+06,7.01E+05,3.26E+06,4.50E+06,1.59E+07,3.97E+06,2.38:0.73:2.48:1.00:4.65:6.42:22.68:5.66,1.15E+06,6.90E+06,1.00:5.99,11778,Ig kappa chain C region OS=Mus musculus PE=1 SV=1
Q62216|Q62216_MOUSE,81.01,25,9,9,Oxidation (M); D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.07E+05,0,0,0,8.78E+04,2.01E+06,1.30E+05,2.22E+06,1.00:0:0:0:0.29:6.54:0.42:7.21,7.68E+04,1.11E+06,1.00:14.46,40814,Semenoclotin OS=Mus musculus GN=Semg1 PE=2 SV=1
P01867|IGG2B_MOUSE,78.31,22,9,8,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,4.91E+05,0,6.09E+05,0,3.94E+06,2.02E+06,1.10E+07,1.72E+06,1.00:0:1.24:0:8.01:4.12:22.37:3.51,2.75E+05,4.67E+06,1.00:16.97,44259,Ig gamma-2B chain C region OS=Mus musculus GN=Igh-3 PE=1 SV=3
P30933|SVS5_MOUSE,74.44,26,2,2,NEM_LysineArginine,5.56E+05,0,0,0,1.73E+05,5.88E+06,3.02E+05,6.21E+06,1.00:0:0:0:0.31:10.57:0.54:11.17,1.39E+05,3.14E+06,1.00:22.59,13019,Seminal vesicle secretory protein 5 OS=Mus musculus GN=Svs5 PE=2 SV=1
Q8K0E8|FIBB_MOUSE,72.18,40,16,15,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.75E+05,4.00E+05,3.11E+05,3.68E+05,1.04E+06,1.67E+06,5.52E+06,9.97E+05,1.02:1.09:0.85:1.00:2.83:4.53:15.00:2.71,3.63E+05,2.31E+06,1.00:6.34,54753,Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1
Q9QXY1|ZO3_MOUSE,67.01,1,1,1,,3.38E+06,3.84E+05,1.10E+05,3.14E+06,0,7.02E+04,2.57E+05,8.51E+05,1.08:0.12:0.03:1.00:0:0.02:0.08:0.27,1.75E+06,2.95E+05,1.00:0.17,99324,Tight junction protein ZO-3 OS=Mus musculus GN=Tjp3 PE=1 SV=1
P18242|CATD_MOUSE,63.31,19,8,8,NEM_LysineArginine,1.66E+05,4.62E+04,2.32E+04,1.31E+05,6.88E+04,5.65E+05,2.19E+06,2.85E+05,1.26:0.35:0.18:1.00:0.52:4.31:16.69:2.17,9.15E+04,7.77E+05,1.00:8.49,44954,Cathepsin D OS=Mus musculus GN=Ctsd PE=1 SV=1
