Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00107913;IPI00885495,,,,,,2,2,2,19.7,6.49E-29,15.2,9,-,117974213,Cmc1,Q9CVE7;Q9CPZ8,Putative uncharacterized protein;COX assembly mitochondrial protein homolog
IPI00107952,,,,,0.53,3,3,3,44.8,1.41E-70,18.3,10,-,116714390,Lyz2;Lyz;Lyzs,P08905,"Lysozyme C-2;Lysozyme C type M;1,4-beta-N-acetylmuramidase C"
IPI00107975;IPI00762411;IPI00858125;IPI00858155;IPI00671804;IPI00858008;IPI00403387,,-0.21,-0.32,,,2,2,2,1.8,1.53E-14,152.4,5,+,34163374,Whsc1;Kiaa1090;Nsd2,Q8BVE8-2;Q8BVE8;Q8BVE8-1;B2RY48;Q8BVE8-3;Q8BJU7,Probable histone-lysine N-methyltransferase NSD2;Nuclear SET domain-containing protein 2;Wolf-Hirschhorn syndrome candidate 1 protein homolog;Whsc1 protein;Putative uncharacterized protein
IPI00108003;IPI00875061;IPI00653548,,0.35,,,,3,2,2,3.5,6.75E-06,109.2,18,+,61265226,Csf1r;Csfmr;Fms;mCG_6021,P09581;Q0P635;Q3U1X4;Q3U1Y3;Q3U210;Q3U3W0;Q3U4N8;Q3UKC6;Q6NXV8;Q3TAZ7,Macrophage colony-stimulating factor 1 receptor;Fms proto-oncogene;c-fms;Tyrosine-protein kinase receptor;Putative uncharacterized protein
IPI00108041;IPI00331631,0.02,0.06,-0.06,-0.11,0.01,14,14,14,25.4,3.10E-83,77.6,7,+,109416320,Stim1;Sim;mCG_124597,P70302;Q3TUX9;Q8K1E1,"Stromal interaction molecule 1;Putative uncharacterized protein;Stromal interaction molecule 1, isoform CRA_a"
IPI00108085;IPI00856773;IPI00856627,-0.06,,,,,2,2,2,4.6,9.08E-06,43.4,7,-,135583291,Tial1;mCG_21017,P70318;Q545C1;Q6NVC2;Q8C573;Q921W2,"Nucleolysin TIAR;TIA-1-related protein;Putative uncharacterized protein;Tial1 cytotoxic granule-associated RNA binding protein-like 1, isoform CRA_c;Tial1 protein;Tial1 cytotoxic granule-associated RNA binding protein-like 1, isoform CRA_a"
IPI00108098;IPI00758376,0.26,0.26,-0.31,,0.01,3,3,3,7.5,3.43E-11,29.6,2,-,93259268,Cd82;Kai1;RP23-70K10.2-001;mCG_2256,P40237;Q3UII2,"CD82 antigen;Inducible membrane protein R2;Metastasis suppressor Kangai-1 homolog;C33 antigen;IA4;Putative uncharacterized protein;CD82 antigen, isoform CRA_a"
IPI00108125;IPI00648714;IPI00848526,-0.07,-0.07,-0.03,0.03,0.1,7,7,2,68.2,1.60E-113,16.8,11,-,69730222,Eif5a,P63242,Eukaryotic translation initiation factor 5A-1;Eukaryotic initiation factor 5A isoform 1;eIF-4D
IPI00108143,-0.19,-0.26,,,,5,1,1,17.4,2.78E-41,49.3,X,+,131135718,Hnrnph2;Hnrph2;RP23-26D22.4-001;mCG_115062,P70333;A2BDV8;Q3UR26,"Heterogeneous nuclear ribonucleoprotein H2;Heterogeneous nuclear ribonucleoprotein H';Heterogeneous nuclear ribonucleoprotein H2, isoform CRA_a;Putative uncharacterized protein"
IPI00108147;IPI00406463,0.03,-0.04,0.03,0.51,0.11,11,8,8,8.3,8.87E-18,158.2,18,-,10067465,Rock1,P70335-1;P70335;Q3TBE0;Q3UE22;P70335-2,"Rho-associated protein kinase 1;Rho-associated, coiled-coil-containing protein kinase 1;p160 ROCK-1;Putative uncharacterized protein"
