Accession,Significance,-10lgP,Intensity Young,Intensity Aged,Ratio Young,Ratio Aged,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
Q62261|SPTB2_MOUSE,1.88,434.46,2.60E+05,2.39E+05,1,0.92,49,127,101,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),274221,Spectrin beta chain  non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2
Q68FD5|CLH1_MOUSE,1.96,424.12,2.91E+05,2.64E+05,1,0.91,54,91,82,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),191555,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3
tr|Q5SXR6|Q5SXR6_MOUSE,1.96,424.12,2.91E+05,2.64E+05,1,0.91,53,91,82,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),191985,Clathrin heavy chain OS=Mus musculus GN=Cltc PE=1 SV=1
Q9JHU4|DYHC1_MOUSE,1.48,395.38,1.02E+05,9.39E+04,1,0.92,26,130,118,Carbamidomethylation; TMT6plex; Deamidation (NQ),532050,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2
Q9QYR6|MAP1A_MOUSE,3.35,390.23,1.55E+05,1.33E+05,1,0.86,33,78,70,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),300139,Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=2
tr|A2ARP8|A2ARP8_MOUSE,3.35,390.23,1.55E+05,1.33E+05,1,0.86,30,78,70,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),325886,Microtubule-associated protein 1A OS=Mus musculus GN=Map1a PE=1 SV=1
Q6PIC6|AT1A3_MOUSE,2.21,388.68,4.67E+05,4.17E+05,1,0.89,34,66,38,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),111691,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Mus musculus GN=Atp1a3 PE=1 SV=1
tr|A0A0G2JGX4|A0A0G2JGX4_MOUSE,2.21,388.68,4.67E+05,4.17E+05,1,0.89,33,66,38,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),112988,Sodium/potassium-transporting ATPase subunit alpha OS=Mus musculus GN=Atp1a3 PE=1 SV=1
tr|Q68FG2|Q68FG2_MOUSE,2.51,378.12,8.08E+04,6.99E+04,1,0.86,28,79,62,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),270921,Spectrin beta chain OS=Mus musculus GN=Sptbn2 PE=1 SV=1
P14873|MAP1B_MOUSE,1.95,377.97,9.20E+04,8.36E+04,1,0.91,30,71,60,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),270252,Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2
