Supplemental Table 2:  Old vs young brain and muscle nuclei proteins,,,,
Uniprot ID,Gene name,Protein name,log2 fold change,-log 10 t.test
P43276,Hist1h1b,Histone H1.5,-2.185040182,2.061360548
Q70IV5,Synm,Synemin,-2.117716218,1.855348854
P05202,Got2,"Aspartate aminotransferase, mitochondrial",-2.046195949,1.250042952
P11087,Col1a1,Collagen alpha-1(I) chain,-1.903939709,1.060652302
A2AQB2,Neb,"Isoform of E9Q1W3, Protein Neb",-1.859884229,0.752206138
Q64475,Hist1h2bb,Histone H2B type 1-B,-1.835167985,0.606635329
P10854,Hist1h2bm,Histone H2B type 1-M,-1.813527781,1.029194661
A0A0G2JDW2,Myl3,"Isoform of P09542, Myosin light chain 3",-1.77481269,0.836802269
Q6PIC6,Atp1a3,Sodium/potassium-transporting ATPase subunit alpha-3,-1.728270929,1.714111999
Q9D2U9,Hist3h2ba,Histone H2B type 3-A,-1.706162652,1.188510405
P08249,Mdh2,"Malate dehydrogenase, mitochondrial",-1.696024713,0.731412201
O54941,Smarce1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,-1.668354703,1.392956945
E9Q1W3,Neb,Protein Neb,-1.646181501,0.660250224
P21107,Tpm3,Tropomyosin alpha-3 chain,-1.604987744,0.955247967
Q9QZ47,Tnnt3,"Troponin T, fast skeletal muscle",-1.573860236,0.943584681
P63038,Hspd1,"60 kDa heat shock protein, mitochondrial",-1.562539578,0.78385343
Q99KI0,Aco2,"Aconitate hydratase, mitochondrial",-1.535394262,0.795630867
Q91XV3,Basp1,Brain acid soluble protein 1,-1.455200585,1.740080548
P49813,Tmod1,Tropomodulin-1,-1.398270962,1.327859819
Q8C494,Prr33,Proline-rich protein 33,-1.388443272,1.289728475
Q9D6R2,Idh3a,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",-1.381152538,1.446647679
Q9D9P1,Chchd3,"Isoform of Q9CRB9, MICOS complex subunit Mic19",-1.313728206,1.010819536
P47754,Capza2,F-actin-capping protein subunit alpha-2,-1.275662452,0.61413264
P45591,Cfl2,Cofilin-2,-1.249735314,0.999126068
P62242,Rps8,40S ribosomal protein S8,-1.24271056,1.412205291
Q9QZ47,Tnnt3,"Troponin T, fast skeletal muscle",-1.226142417,0.857281743
A2AUC9,Klhl41,Kelch-like protein 41,-1.222650417,1.497034871
Q7TMM9,Tubb2a,Tubulin beta-2A chain,-1.218606082,0.996958899
O70548,Tcap,Telethonin,-1.202315866,0.803358448
P70333,Hnrnph2,Heterogeneous nuclear ribonucleoprotein H2,-1.158012994,0.938510146
P08553,Nefm,Neurofilament medium polypeptide,-1.134560081,0.739512203
P11031,Sub1,Activated RNA polymerase II transcriptional coactivator p15,-1.121717876,0.809115896
Q01149,Col1a2,Collagen alpha-2(I) chain,-1.117348149,0.593012167
P58774,Tpm2,Tropomyosin beta chain,-1.092357101,0.944252742
Q3TJD7,Pdlim7,PDZ and LIM domain protein 7,-1.086788632,0.508420234
Q9CQR2,Rps21,40S ribosomal protein S21,-1.086567606,1.241078316
Q9ESU6,Brd4,Bromodomain-containing protein 4,-1.081613478,1.601124285
Q8CHH9,8-Sep,Septin-8,-1.052383867,0.846479581
G3UW82,Myh2,"MCG140437, isoform CRA_d",-1.052260161,0.478562391
P68368,Tuba4a,Tubulin alpha-4A chain,-1.038412389,0.779333529
Q5SX40,Myh1,Myosin-1,-1.038370204,0.567090806
P13542,Myh8,Myosin-8,-1.010891299,0.928792977
D3YU08,Synpo2l,"Isoform of Q8BWB1, Synaptopodin 2-like protein",-1.006584313,0.743191272
Q9D7M8,Polr2d,DNA-directed RNA polymerase II subunit RPB4,-0.996693613,0.91049485
Q9DB77,Uqcrc2,"Cytochrome b-c1 complex subunit 2, mitochondrial",-0.976141703,0.628958424
P62627,Dynlrb1,Dynein light chain roadblock-type 1,-0.972264407,1.665206569
Q3TWW8,Srsf6,Serine/arginine-rich splicing factor 6,-0.965790951,0.905042538
Q5SFM8,Rbm27,RNA-binding protein 27,-0.961188052,1.241504015
Q9DC77,Smpx,Small muscular protein,-0.955470528,1.199153569
Q8BMS1,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial",-0.953679797,1.256799019
P14602,Hspb1,Heat shock protein beta-1,-0.952856279,1.010283279
P51667,Myl2,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform",-0.948657426,0.386878716
Q91VD9,Ndufs1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",-0.943876988,1.062668541
P62204,Calm1,Calmodulin,-0.93675334,0.358883517
Q9JK37,Myoz1,Myozenin-1,-0.91481458,0.575080884
E9Q3W4,Plec,"Isoform of Q9QXS1, Plectin",-0.909176718,0.738065852
P05977,Myl1,"Myosin light chain 1/3, skeletal muscle isoform",-0.885101596,0.600316827
E0CX65,Sirpa,"Isoform of P97797, Tyrosine-protein phosphatase non-receptor type substrate 1",-0.878305389,0.959039854
Q8R4R6,Nup35,Nucleoporin NUP53,-0.875443282,0.389489397
P50396,Gdi1,Rab GDP dissociation inhibitor alpha,-0.833810905,1.289677619
P47757,Capzb,F-actin-capping protein subunit beta,-0.828241295,0.301977441
Q9CPW7,Zmat2,Zinc finger matrin-type protein 2,-0.819409554,0.734557097
P32848,Pvalb,Parvalbumin alpha,-0.816351162,0.602249379
Q64433,Hspe1,"10 kDa heat shock protein, mitochondrial",-0.811302039,1.156357367
P97457,Mylpf,"Myosin regulatory light chain 2, skeletal muscle isoform",-0.811176596,0.503853135
Q9D6J6,Ndufv2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",-0.809732374,0.671351894
Q501J6,Ddx17,Probable ATP-dependent RNA helicase DDX17,-0.807966857,0.391460676
P19123,Tnnc1,"Troponin C, slow skeletal and cardiac muscles",-0.807646695,0.536173856
S4R2F3,Ank2,"Isoform of Q8C8R3, Ankyrin-2",-0.806781897,1.004126148
Q9D3R8,Ifitm7,"Isoform of G3X9Z2, Interferon induced transmembrane protein 7",-0.805374779,0.444484174
B1AWE0,Clta,"Isoform of O08585, Clathrin light chain A",-0.803819998,0.530862995
P15105,Glul,Glutamine synthetase,-0.79985698,0.6637597
E9Q557,Dsp,Desmoplakin,-0.791776995,0.431558956
Q9JKS4,Ldb3,LIM domain-binding protein 3,-0.790362905,0.681000112
A0A023T672,RBM8,"Isoform of Q9CWZ3, RNA-binding protein 8A",-0.790237292,0.438585125
P63101,Ywhaz,14-3-3 protein zeta/delta,-0.786715988,0.454580797
P58771,Tpm1,Tropomyosin alpha-1 chain,-0.778837032,0.538895153
A2AAJ9,Obscn,Obscurin,-0.776808596,0.642566015
P13412,Tnni2,"Troponin I, fast skeletal muscle",-0.771516845,0.51413821
A2AFJ1,Rbbp7,"Isoform of Q60973, Histone-binding protein RBBP7",-0.769403667,0.345237498
Q8R326,Pspc1,Paraspeckle component 1,-0.749798852,0.506637049
Q9D1R9,Rpl34,60S ribosomal protein L34,-0.747474078,0.565417316
B7ZNL3,Tpm1,"Isoform of P58771, Tpm1 protein",-0.746310663,0.35954698
P63213,Gng2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,-0.741045162,1.338446039
P51637,Cav3,Caveolin-3,-0.733225222,1.807401758
Q9D554,Sf3a3,Splicing factor 3A subunit 3,-0.729251619,0.383328016
Q8K4Z5,Sf3a1,Splicing factor 3A subunit 1,-0.7284813,0.565101897
O88990,Actn3,Alpha-actinin-3,-0.727650259,0.407238256
P11499,Hsp90ab1,Heat shock protein HSP 90-beta,-0.72699478,0.592856952
Q91Z83,Myh7,Myosin-7,-0.726406924,0.353980746
A2A6J0,Tnnt3,"Isoform of Q9QZ47, Troponin T, fast skeletal muscle",-0.717597109,1.136032105
Q9JKN6,Nova1,RNA-binding protein Nova-1,-0.716172873,1.279615436
P62754,Rps6,40S ribosomal protein S6,-0.713181084,0.371830464
Q91VC3,Eif4a3,Eukaryotic initiation factor 4A-III,-0.708565425,0.275524477
P61327,Magoh,Protein mago nashi homolog,-0.700357689,1.196908568
Q8BFZ3,Actbl2,Beta-actin-like protein 2,-0.697986495,0.239549061
P04370,Mbp,Myelin basic protein,-0.697718559,0.553729126
A0A087WNS0,Rpl3,"Isoform of P27659, 60S ribosomal protein L3",-0.692327605,0.259005416
P35486,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",-0.688383271,0.537687518
Q8BMF4,Dlat,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",-0.683923863,0.435831717
P20801,Tnnc2,"Troponin C, skeletal muscle",-0.677865849,0.408200848
Z4YJF5,Myom1,"Isoform of Q62234, Myomesin-1",-0.676194105,0.483724245
P62259,Ywhae,14-3-3 protein epsilon,-0.666596957,0.42136576
Q5SX39,Myh4,Myosin-4,-0.66268797,0.347528791
Q923T9,Camk2g,Calcium/calmodulin-dependent protein kinase type II subunit gamma,-0.650156892,0.560955899
Q9DCJ5,Ndufa8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,-0.644174133,0.235374398
Q60605,Myl6,Myosin light polypeptide 6,-0.635636697,0.476094562
Q64324,Stxbp2,Syntaxin-binding protein 2,-0.626316262,0.412357013
Q8C854,Myef2,Myelin expression factor 2,-0.626251876,0.389844774
Q9CQC7,Ndufb4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,-0.616749009,0.264425096
Q60932,Vdac1,Voltage-dependent anion-selective channel protein 1,-0.597616305,0.356425793
P63163,Snrpn,Small nuclear ribonucleoprotein-associated protein N,-0.593173948,0.615986757
Q91YE8,Synpo2,Synaptopodin-2,-0.59254964,0.286654371
P56135,Atp5j2,"ATP synthase subunit f, mitochondrial",-0.583473726,0.264654599
Q8VBT3,Oscar,Osteoclast-associated immunoglobulin-like receptor,-0.582942313,0.22721878
Q9CZ13,Uqcrc1,"Cytochrome b-c1 complex subunit 1, mitochondrial",-0.582175048,0.28240245
P62082,Rps7,40S ribosomal protein S7,-0.578825899,0.321904262
Q80WS3,Fbll1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,-0.573254524,0.572318742
P12787,Cox5a,"Cytochrome c oxidase subunit 5A, mitochondrial",-0.572754016,0.440705321
Q9D051,Pdhb,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",-0.567421084,0.22939537
Q14BI5,Myom2,Myomesin 2,-0.565251336,0.366468558
P19783,Cox4i1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",-0.553547125,0.184843141
Q9CRB2,Nhp2,H/ACA ribonucleoprotein complex subunit 2,-0.548823562,0.831090818
Q7TQ48,Srl,Sarcalumenin,-0.540850857,0.194787901
Q8BTV2,Cpsf7,Cleavage and polyadenylation specificity factor subunit 7,-0.534854798,0.177982464
O35691,Pnn,Pinin,-0.533220093,0.336846103
Q04447,Ckb,Creatine kinase B-type,-0.528022063,0.363118839
Q6PDG5,Smarcc2,SWI/SNF complex subunit SMARCC2,-0.517278859,0.209414833
P62855,Rps26,40S ribosomal protein S26,-0.506267922,0.691688179
E9QP59,Lemd3,"Isoform of Q9WU40, Inner nuclear membrane protein Man1",-0.498666947,0.296044333
Q9EQS3,Mycbp,C-Myc-binding protein,-0.496839295,0.255850047
Q61029,Tmpo,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma",-0.495444388,0.515797943
Q9D3D9,Atp5d,"ATP synthase subunit delta, mitochondrial",-0.495202069,0.324628315
Q7TMY4,Thoc7,THO complex subunit 7 homolog,-0.494953071,0.264916277
Q9JHY4,Wfdc15b,WAP four-disulfide core domain protein 15B,-0.494612227,0.300513589
Q2NKI4,Prkcg,"Isoform of P63318, Protein kinase C",-0.490571475,0.365063744
P97315,Csrp1,Cysteine and glycine-rich protein 1,-0.486552197,0.399483443
Q9R059,Fhl3,Four and a half LIM domains protein 3,-0.480543056,0.42625715
Q9JI91,Actn2,Alpha-actinin-2,-0.473889009,0.146698667
Q9QWF0,Chaf1a,Chromatin assembly factor 1 subunit A,-0.471582202,0.089909973
P19536,Cox5b,"Cytochrome c oxidase subunit 5B, mitochondrial",-0.466861221,0.222569792
Q9JJW5,Myoz2,Myozenin-2,-0.465164369,0.273846655
D3YZ62,Myo5a,"Isoform of Q99104, Unconventional myosin-Va",-0.461001431,0.50337769
Q9Z1P6,Ndufa7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,-0.459710443,0.285863906
Q6ZPZ3,Zc3h4,Zinc finger CCCH domain-containing protein 4,-0.458077847,0.474925249
P09405,Ncl,Nucleolin,-0.455981406,0.17819571
P10126,Eef1a1,Elongation factor 1-alpha 1,-0.454402542,0.292889981
A2ABU4,Myom3,Myomesin-3,-0.45403345,0.390461799
P17742,Ppia,Peptidyl-prolyl cis-trans isomerase A,-0.451833606,0.454750507
Q60596,Xrcc1,DNA repair protein XRCC1,-0.439032925,0.226640698
P68134,Acta1,"Actin, alpha skeletal muscle",-0.438153948,0.407094422
Q8BFR5,Tufm,"Elongation factor Tu, mitochondrial",-0.428336573,0.222211386
E9QPE7,Myh11,"Isoform of O08638, Myosin-11",-0.424863675,0.472159944
P46660,Ina,Alpha-internexin,-0.420608015,0.447836337
Q9CWL8,Ctnnbl1,Beta-catenin-like protein 1,-0.419764774,0.445222766
P10711,Tcea1,Transcription elongation factor A protein 1,-0.411130035,0.284021704
Q9Z2Q6,5-Sep,Septin-5,-0.410732305,0.557025209
Q921I9,Exosc4,Exosome complex component RRP41,-0.407049018,0.263228828
P59708,Sf3b6,Splicing factor 3B subunit 6,-0.399717975,0.141145234
P97868,Rbbp6,E3 ubiquitin-protein ligase RBBP6,-0.389982127,0.513209322
Q8CH18,Ccar1,Cell division cycle and apoptosis regulator protein 1,-0.388756985,0.210826752
Q8C845,Efhd2,"Isoform of Q9D8Y0, EF-hand domain-containing protein D2",-0.387423109,0.439298943
P17095,Hmga1,High mobility group protein HMG-I/HMG-Y,-0.381712896,0.157024615
P26369,U2af2,Splicing factor U2AF 65 kDa subunit,-0.381232484,0.282011953
