# Output table from Spectronaut filtered for the comparison of Geriatric to Young mouse crypts isolated from duodenum only. Related to Figure 3 and S3.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
ger duo / young duo,P14434,H2-Aa,"H-2 class II histocompatibility antigen, A-B alpha chain",HA2B_MOUSE,8,2.284622669,2.284622669,387.2366541,4.872366541,5.79E-06
ger duo / young duo,P01942,Hba,Hemoglobin subunit alpha,HBA_MOUSE,7,2.230071545,2.230071545,369.1572451,4.691572451,4.22E-13
ger duo / young duo,Q64253,Ly6e,Lymphocyte antigen 6E,LY6E_MOUSE,1,2.093693018,2.093693018,326.8393011,4.268393011,0.018796783
ger duo / young duo,Q5G865,Defa24,Alpha-defensin 24,DFA24_MOUSE,3,1.971956611,1.971956611,292.2998029,3.922998029,0.049134816
ger duo / young duo,Q62234,Myom1,Myomesin-1,MYOM1_MOUSE,2,1.932817936,1.932817936,281.8002205,3.818002205,0.041047622
ger duo / young duo,Q45VN2,Defa20,Alpha-defensin 20,DFA20_MOUSE,9,1.923412323,1.923412323,279.3191802,3.793191802,6.23E-06
ger duo / young duo,P02088,Hbb-b1,Hemoglobin subunit beta-1,HBB1_MOUSE,13,1.758453131,1.758453131,238.3351647,3.383351647,3.56E-09
ger duo / young duo,Q9R0M0,Celsr2,Cadherin EGF LAG seven-pass G-type receptor 2,CELR2_MOUSE,2,1.671779037,1.671779037,218.6072368,3.186072368,0.040563223
ger duo / young duo,P24452,Capg,Macrophage-capping protein,CAPG_MOUSE,3,1.623121858,1.623121858,208.0408874,3.080408874,0.003102564
ger duo / young duo,Q8C1N8,Defa22,Alpha-defensin 22,DFA22_MOUSE,7,1.602696776,1.602696776,203.7104978,3.037104978,0.000584478
ger duo / young duo,P04441,Cd74,H-2 class II histocompatibility antigen gamma chain,HG2A_MOUSE,12,1.538796544,1.538796544,190.552032,2.90552032,6.26E-07
ger duo / young duo,Q61334,Bcap29,B-cell receptor-associated protein 29,BAP29_MOUSE,8,1.402886868,1.402886868,164.4301843,2.644301843,0.002471507
ger duo / young duo,Q9D123,Tmem219,Insulin-like growth factor-binding protein 3 receptor,TM219_MOUSE,1,1.399377584,1.399377584,163.7877528,2.637877528,0.041674541
ger duo / young duo,Q9CZ91,Srfbp1,Serum response factor-binding protein 1,SRFB1_MOUSE,2,1.366494775,1.366494775,157.8433388,2.578433388,0.029938618
ger duo / young duo,O89086,Rbm3,RNA-binding protein 3,RBM3_MOUSE,10,1.344783902,1.344783902,153.9921488,2.539921488,3.65E-06
ger duo / young duo,CON__P35527,NaN,NaN,CON__P35527,31,1.341483593,1.341483593,153.4117804,2.534117804,1.68E-11
ger duo / young duo,Q60648,Gm2a,Ganglioside GM2 activator,SAP3_MOUSE,5,1.333548546,1.333548546,152.0218023,2.520218023,0.002125713
ger duo / young duo,Q61599,Arhgdib,Rho GDP-dissociation inhibitor 2,GDIR2_MOUSE,6,1.330063701,1.330063701,151.4137756,2.514137756,0.000344006
ger duo / young duo,P14483,H2-Ab1,"H-2 class II histocompatibility antigen, A beta chain",HB2A_MOUSE,17,1.328904271,1.328904271,151.2118067,2.512118067,6.74E-09
ger duo / young duo,Q9Z172,Sumo3,Small ubiquitin-related modifier 3,SUMO3_MOUSE,3,1.327224851,1.327224851,150.9195448,2.509195448,0.022676942
ger duo / young duo,P37804,Tagln,Transgelin,TAGL_MOUSE,18,1.302332044,1.302332044,146.6272211,2.466272211,0.000161552
ger duo / young duo,Q8BH93,Mapk1ip1l,MAPK-interacting and spindle-stabilizing protein-like,MISSL_MOUSE,1,1.296872377,1.296872377,145.6956606,2.456956606,0.013858505
ger duo / young duo,P01843,NaN,Ig lambda-1 chain C region,LAC1_MOUSE,5,1.240277529,1.240277529,136.2439738,2.362439738,0.004166184
ger duo / young duo,Q91VW3,Sh3bgrl3,SH3 domain-binding glutamic acid-rich-like protein 3,SH3L3_MOUSE,3,1.232734799,1.232734799,135.0120611,2.350120611,0.000519158
ger duo / young duo,Q9D1C1,Ube2c,Ubiquitin-conjugating enzyme E2 C,UBE2C_MOUSE,7,1.224479675,1.224479675,133.6711583,2.336711583,0.001719063
ger duo / young duo,Q9JK38,Gnpnat1,Glucosamine 6-phosphate N-acetyltransferase,GNA1_MOUSE,4,1.119651556,1.119651556,117.2944846,2.172944846,0.007679429
ger duo / young duo,P01592,Jchain,Immunoglobulin J chain,IGJ_MOUSE,7,1.107885361,1.107885361,115.5295019,2.155295019,0.000431211
ger duo / young duo,P33680,Guca2a,Guanylin,GUC2A_MOUSE,5,1.100042343,1.100042343,114.3609839,2.143609839,0.03619645
ger duo / young duo,P11034,Mcpt1,Mast cell protease 1,MCPT1_MOUSE,6,1.066862464,1.066862464,109.4872535,2.094872535,0.010969178
