,,,,Scaled Abundance (Sum of each row=100),,,,,,,,,,,
Protein.Id,Gene.Symbol,Description,Number.of.peptides,Young 1,Young 2,Young 3,Young 4,Young 5,Old 1,Old 2,Old 3,Old 4,Old 5,t.pvalue,t.qvalue
sp|P39688|FYN_MOUSE,Fyn,Tyrosine-protein kinase Fyn OS=Mus musculus OX=10090 GN=Fyn PE=1 SV=4,2,10.0,11.2,10.5,11.8,10.2,8.6,9.7,9.0,9.5,9.5,0.00664,0.30117
sp|Q04736|YES_MOUSE,Yes1,Tyrosine-protein kinase Yes OS=Mus musculus OX=10090 GN=Yes1 PE=1 SV=3,4,10.2,9.7,10.6,10.3,10.3,9.9,9.8,9.9,9.1,10.1,0.07357,0.64837
sp|P49615|CDK5_MOUSE,Cdk5,Cyclin-dependent-like kinase 5 OS=Mus musculus OX=10090 GN=Cdk5 PE=1 SV=1,4,10.6,8.0,10.9,9.2,10.8,11.8,9.4,9.2,8.8,11.1,0.83302,0.90061
sp|Q69ZA1|CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3,2,9.5,9.9,10.2,10.8,10.9,10.2,9.8,9.4,8.6,10.9,0.32799,0.80750
sp|P41241|CSK_MOUSE,Csk,Tyrosine-protein kinase CSK OS=Mus musculus OX=10090 GN=Csk PE=1 SV=2,2,9.8,11.7,10.1,10.0,9.6,9.9,9.2,8.6,9.8,11.2,0.39687,0.82404
sp|Q9DC71|RT15_MOUSE,Mrps15,"28S ribosomal protein S15, mitochondrial OS=Mus musculus OX=10090 GN=Mrps15 PE=1 SV=2",6,10.6,9.5,10.6,9.5,9.7,10.7,9.3,9.8,9.7,10.5,0.98592,0.91471
sp|O08582|GTPB1_MOUSE,Gtpbp1,GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Gtpbp1 PE=1 SV=2,2,11.5,8.1,9.7,11.2,9.7,11.9,10.3,9.5,9.3,8.7,0.91322,0.90854
sp|Q9JHS4|CLPX_MOUSE,Clpx,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Mus musculus OX=10090 GN=Clpx PE=1 SV=2",12,10.0,9.6,10.2,9.2,10.7,10.7,9.9,10.3,9.8,9.6,0.67013,0.87937
sp|Q3U0V1|FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2,10,8.9,11.9,10.0,10.3,10.4,9.6,8.9,9.9,10.3,9.8,0.31777,0.80450
tr|A2AJ72|A2AJ72_MOUSE,Fubp3,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus OX=10090 GN=Fubp3 PE=1 SV=1,2,8.9,10.8,11.3,10.7,11.9,8.7,8.2,8.0,10.3,11.3,0.12731,0.70928
tr|Q3TUE1|Q3TUE1_MOUSE,Fubp1,Far upstream element-binding protein 1 OS=Mus musculus OX=10090 GN=Fubp1 PE=1 SV=1,4,9.0,11.8,11.0,10.3,10.1,9.0,8.9,9.4,10.6,10.0,0.17882,0.73755
sp|Q80WW9|DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ddrgk1 PE=1 SV=2,3,8.4,9.4,9.9,10.0,10.2,10.2,9.9,10.9,10.7,10.4,0.06487,0.63201
