Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00928320;IPI00928070;IPI00928581;IPI00321190;IPI00928204;IPI00928284,-0.48,-0.43,-0.4,-0.5,0.61,0.53,0.56,0.48,+,4.07,1,17,17,17,38.7,0.00E+00,60.672,10,+,59740375,Psap;mCG_61290;Sgp1,Q3TWM9;Q3UE29;Q8BFQ1;Q3TXJ0;Q61207;Q3UFE8;B2RUD7;Q3TID4;Q3TIT5;Q3TKB2;Q3TKK3;Q3TWE9;Q3TWF9;Q3TWL8;Q3TXP9;Q3U5W2;Q3U825;Q3U897;Q3U8C4;Q3UAS4,"Putative uncharacterized protein;Psap protein;Prosaposin, isoform CRA_a;Sulfated glycoprotein 1;Prosaposin;Prosaposin, isoform CRA_e"
IPI00404551;IPI00111013;IPI00881091;IPI00927957,-0.15,-0.11,-0.08,-0.15,0.38,0.42,0.37,0.36,+,3.74,0.51,12,12,12,40.4,0.00E+00,48.373,7,-,149561825,Ctsd;mCG_11067,Q8C243;P18242;Q05BF3;Q3TIR0;Q3TJN3;Q3TWD0;Q3TWL1;Q3TWR6;Q3TXL5;Q3U651;Q3U7I9;Q3U7P0;Q3U8W5;Q3UAQ1;Q3UC89;Q3UCD9;Q8VCK2;Q3UCW4,"Putative uncharacterized protein;Cathepsin D;Ctsd protein;Cathepsin D, isoform CRA_a"
IPI00331318;IPI00648852;IPI00652776;IPI00881289,-0.55,-0.56,-0.59,-0.63,0.75,0.79,0.87,0.59,+,3.66,1.33,8,8,8,30,1.32E-44,34.621,4,+,122513489,Ppt1;Ppt;RP23-232N16.2-001;mCG_5544;RP23-232N16.2-002,O88531;Q3TAR8;Q3U6J9;Q3U6W3;Q3UB92;Q8VBX5;Q3TEL0,Palmitoyl-protein thioesterase 1;Palmitoyl-protein hydrolase 1;Putative uncharacterized protein;Palmitoyl-protein thioesterase
IPI00130661,-0.32,-0.13,-0.19,-0.24,0.63,0.49,0.59,0.69,+,3.09,0.82,2,2,2,8.5,3.28E-64,61.341,7,-,112893532,Tpp1;Cln2;mCG_19720,O89023;Q3TDY6;Q3U2Z6;Q8BNF3,"Tripeptidyl-peptidase 1;Tripeptidyl-peptidase I;Tripeptidyl aminopeptidase;Lysosomal pepstatin-insensitive protease;Putative uncharacterized protein;Tripeptidyl peptidase I, isoform CRA_a"
IPI00125266;IPI00831107;IPI00831029,-0.04,-0.12,-0.18,-0.25,0.48,0.47,0.5,0.43,+,3.05,0.62,12,12,12,44.2,2.21E-135,44.669,8,-,42426019,Asah1;Asah;mCG_17727,Q9WV54;Q3TWT5;Q3U646;Q3U8A7;Q78P93,"Acid ceramidase;Acylsphingosine deacylase;N-acylsphingosine amidohydrolase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta;Putative uncharacterized protein;N-acylsphingosine amidohydrolase 1, isoform CRA_a"
IPI00828712,-0.25,-0.23,-0.08,-0.4,0.54,0.39,0.6,0.46,,2.56,0.74,11,1,1,36.3,3.87E-173,56.426,X,-,71468800,Flna,D3Z0G4,Putative uncharacterized protein Flna
IPI00120295,-1.56,-1.8,-1.37,-1.51,0.37,-0.19,-0.32,0.17,,2.48,1.57,2,2,2,11.1,1.19E-28,22.114,3,+,31048868,Cldn11;Osp;Otm,Q60771,Claudin-11;Oligodendrocyte transmembrane protein;Oligodendrocyte-specific protein
IPI00123891,-0.42,-0.42,-0.37,-0.32,0.02,-0.02,-0.07,-0.13,,2.4,0.33,14,14,14,76.2,0.00E+00,20.583,1,+,137616638,Csrp1;Crp1;Csrp;mCG_9161,P97315;Q4FJX4,"Cysteine and glycine-rich protein 1;Csrp1 protein;Putative uncharacterized protein;Cysteine and glycine-rich protein 1, isoform CRA_b"
IPI00135106;IPI00133833;IPI00459474;IPI00831551;IPI00831462,-1.49,-1.4,-1.2,-1.37,0.2,-0.33,-0.42,0.02,,2.36,1.23,8,8,8,45.3,3.98E-32,19.197,9,+,120058860,Mobp,Q9D2P8-1;Q9D2P8;Q9D2P8-2;Q9D2P8-5;Q9D2P8-3;Q9D2P8-4,Myelin-associated oligodendrocyte basic protein
IPI00224237;IPI00762305;IPI00928166,0.03,0.06,0,0.04,0.19,0.16,0.25,0.24,,2.32,0.18,5,5,5,6,4.13E-13,104.2,10,-,99909563,Tmtc3,Q8BRH0-1;Q8BRH0,Transmembrane and TPR repeat-containing protein 3
